09:59:16:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
09:59:41:  CS_0000_20201127094644.log - [No filter file]* - TextAnalysisTool.NET
09:58:16:  Decode
09:58:21:  发送指令到K18
09:58:26:  20201127
09:58:31:  Decode
09:58:36:  CS_0000_20201127094644.log - [No filter file]* - TextAnalysisTool.NET
09:59:16:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
09:59:41:  CS_0000_20201127094644.log - [No filter file]* - TextAnalysisTool.NET
10:00:36:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
10:00:51:  D:\CRS\106\Project\ke18_rtt.uvprojx - μVision
10:01:06:  Toolbox
10:01:11:  发送指令到K18
10:01:21:  TCR调测工具（研发版）V1.0.0.4
10:01:26:  发送指令到K18
10:01:41:  Decode
10:01:46:  K64_0000_20201127094644.log - [No filter file]* - TextAnalysisTool.NET
10:02:11:  Decode
10:02:16:  20201127
10:02:21:  Decode
10:02:26:  K64_0000_20201127094644.log - [No filter file]* - TextAnalysisTool.NET
10:02:36:  CS_0000_20201127094644.log - [No filter file]* - TextAnalysisTool.NET
10:03:06:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c • (106) - Sublime Text (UNREGISTERED)
10:03:16:  D:\CRS\106\Project\ke18_rtt.uvprojx - μVision
10:03:31:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
10:03:56:  转发: 考勤异常提醒
10:04:01:  异常20201127.xlsx
10:05:56:  转发: 考勤异常提醒
10:06:01:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
10:06:06:  CS_0000_20201127094644.log - [No filter file]* - TextAnalysisTool.NET
10:06:46:  Decode
10:06:56:  正在打开 - Excel
10:07:16:  异常20201127.xlsx - Excel
10:07:51:  Decode
10:07:56:  CS_0000_20201127094644.log - [No filter file]* - TextAnalysisTool.NET
10:08:06:  20201127
10:08:11:  发送指令到K18
10:08:16:  TCR调测工具（研发版）V1.0.0.4
10:08:21:  20201127
10:08:26:  CS_0000_20201127094644.log - [No filter file]* - TextAnalysisTool.NET
10:08:56:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
10:09:01:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.h (106) - Sublime Text (UNREGISTERED)
10:09:06:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
10:09:11:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.h (106) - Sublime Text (UNREGISTERED)
10:09:16:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
10:09:31:  CS_0000_20201127094644.log - [No filter file]* - TextAnalysisTool.NET
10:10:11:  D:\CRS\106\Project\ke18_rtt.uvprojx - μVision
10:10:16:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
10:10:41:  D:\CRS\106\Project\ke18_rtt.uvprojx - μVision
10:10:51:  Toolbox
10:10:56:  发送指令到K18
10:11:11:  TCR调测工具（研发版）V1.0.0.4
10:11:16:  锁屏状态
10:11:21:  20201127
10:11:26:  CS_0000_20201127094644.log - [No filter file]* - TextAnalysisTool.NET
10:12:06:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
10:12:16:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c • (106) - Sublime Text (UNREGISTERED)
10:12:21:  D:\CRS\106\Project\ke18_rtt.uvprojx - μVision
10:12:36:  发送指令到K18
10:12:41:  TCR调测工具（研发版）V1.0.0.4
10:12:46:  删除多个项目
10:12:51:  20201127
10:12:56:  Decode
10:13:01:  CS_0000_20201127094644.log - [No filter file]* - TextAnalysisTool.NET
10:13:06:  D:\CRS\106\Project\ke18_rtt.uvprojx - μVision
10:13:36:  TCR调测工具（研发版）V1.0.0.4
10:13:41:  D:\CRS\106\Project\ke18_rtt.uvprojx - μVision
10:14:26:  TCR调测工具（研发版）V1.0.0.4
10:14:31:  D:\CRS\106\Project\ke18_rtt.uvprojx - μVision
10:14:41:  发送指令到K18
10:14:46:  D:\CRS\106\Project\ke18_rtt.uvprojx - μVision
10:14:26:  TCR调测工具（研发版）V1.0.0.4
10:14:31:  D:\CRS\106\Project\ke18_rtt.uvprojx - μVision
10:14:41:  发送指令到K18
10:14:46:  D:\CRS\106\Project\ke18_rtt.uvprojx - μVision
10:15:21:  发送指令到K18
10:15:31:  20201127
10:15:36:  CS_0000_20201127094644.log - [No filter file]* - TextAnalysisTool.NET
