08:12:03:  风险提示：招标用DRB钞箱提供存在延期风险
11:15:15:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091112.log
11:15:20:  D:\00-06\DRB--\Applications\MotorCtrl\MotorCtrl.c (DRB--) - Sublime Text (UNREGISTERED)
11:15:35:  D:\00-06\DRB--\Applications\Separate\Separate.c (DRB--) - Sublime Text (UNREGISTERED)
11:16:20:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:16:25:  D:\00-06\DRB--\Applications\Separate\Separate.c (DRB--) - Sublime Text (UNREGISTERED)
11:17:05:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:17:25:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091112.log
11:17:30:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:17:45:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091117.log
11:18:10:  D:\00-06\DRB--\Applications\Separate\Separate.c (DRB--) - Sublime Text (UNREGISTERED)
11:19:00:  锁屏状态
11:19:10:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:19:40:  9月考勤异常.xlsx
11:20:10:  20180613 TCR内部指令手册_V001.xlsx - Excel
11:20:15:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:20:20:  KE06LOG.bat - 快捷方式 (2)
11:20:25:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:20:35:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091120.log
11:20:55:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:21:00:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091120.log
11:21:25:  D:\00-06\DRB--\Applications\Separate\Separate.c (DRB--) - Sublime Text (UNREGISTERED)
11:21:50:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:21:55:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091120.log
11:22:20:  D:\00-06\DRB--\Applications\Separate\Separate.c (DRB--) - Sublime Text (UNREGISTERED)
11:22:50:  D:\00-06\DRB--\Applications\Separate\Separate.c • (DRB--) - Sublime Text (UNREGISTERED)
11:23:10:  D:\00-06\DRB--\Applications\Separate\Separate.c (DRB--) - Sublime Text (UNREGISTERED)
11:23:15:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:23:50:  Toolbox
11:23:55:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:24:05:  KE06LOG.bat - 快捷方式 (2)
11:24:10:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:24:15:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091124.log
11:24:25:  D:\00-06\DRB--\Applications\Separate\Separate.c (DRB--) - Sublime Text (UNREGISTERED)
11:25:00:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:25:10:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091124.log
11:25:35:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:25:40:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091124.log
11:25:55:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:27:20:  荆文波
11:27:40:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:28:25:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091128.log
11:29:05:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:28:25:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091128.log
11:29:05:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:31:05:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091128.log
11:31:10:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:39:00:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091128.log
11:40:40:  D:\00-06\DRB--\Applications\Separate\Separate.c (DRB--) - Sublime Text (UNREGISTERED)
11:40:45:  锁屏状态
11:40:55:  D:\00-06\DRB--\Applications\Separate\Separate.c (DRB--) - Sublime Text (UNREGISTERED)
11:41:00:  D:\00-06\DRB--\Applications\PlateCtrl\PlateCtrl.c (DRB--) - Sublime Text (UNREGISTERED)
11:41:55:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:42:40:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
13:09:21:  iTunes
13:09:26:  自动播放
13:11:51:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
13:12:26:  9月考勤异常.xlsx
13:13:11:  新标签页 - Google Chrome
13:13:21:  班车管理系统 - Google Chrome
13:13:26:  班车管理系统 [新北洋集团] - Google Chrome
13:13:36:  主页 - Internet Explorer
13:13:46:  系统登录 - Internet Explorer
13:13:51:  新北洋OA信息化平台 - Internet Explorer
13:13:56:  http://hrms.byintra.com:8800/psp/HCMPRD/EMPLOYEE/HRMS/c/C_AM_MENU.C_ATT_EQRY.GBL?FolderPath=POR - Internet Explorer
13:14:01:  考勤异常 - Internet Explorer
13:14:21:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
13:14:21:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
13:15:11:  自动播放
13:17:16:  TCR调测工具 V3.36
13:17:41:  BTCRTestTool
13:17:51:  TCR调测工具 V3.36
13:18:11:  DRB传感器.txt - 记事本
13:18:21:  TCR调测工具 V3.36
13:18:31:  发送指令到K06
13:18:51:  TCR调测工具 V3.36
13:19:31:  20180613 TCR内部指令手册_V001.xlsx - Excel
13:19:41:  D:\00-06\DRB--\Applications\Instruction\InstrHandle.c (DRB--) - Sublime Text (UNREGISTERED)
13:19:51:  D:\00-06\DRB--\Applications\Instruction\InstrExecute.c (DRB--) - Sublime Text (UNREGISTERED)
13:19:56:  发送指令到K06
13:20:06:  D:\00-06\DRB--\Applications\Instruction\InstrExecute.c (DRB--) - Sublime Text (UNREGISTERED)
13:20:11:  D:\00-06\DRB--\Applications\PlateCtrl\PlateCtrl.c (DRB--) - Sublime Text (UNREGISTERED)
13:20:16:  D:\00-06\DRB--\Applications\PlateCtrl\PlateCtrl.h (DRB--) - Sublime Text (UNREGISTERED)
13:20:21:  D:\00-06\DRB--\Applications\Instruction\InstrReturn.c (DRB--) - Sublime Text (UNREGISTERED)
13:20:26:  D:\00-06\DRB--\Middlewares\Plate\PressurePlate.c (DRB--) - Sublime Text (UNREGISTERED)
13:20:31:  TCR调测工具 V3.36
13:22:46:  钞箱配置
13:22:56:  TCR调测工具 V3.36
13:23:46:  取款
13:23:51:  跳转列表
13:23:56:  K64_BTCR-1100190803000_20201009102052
13:24:01:  20201009
13:24:11:  LOG
13:24:16:  Box_3__BTCR-1100190803000_20201009132326.log - DRB.tat* - TextAnalysisTool.NET
13:24:31:  取款
13:24:36:  TCR调测工具 V3.36
13:25:16:  钞箱配置
13:25:21:  TCR调测工具 V3.36
13:25:51:  取款
13:26:06:  TCR调测工具 V3.36
13:26:56:  锁屏状态
13:27:01:  20201009
13:27:06:  LOG
13:33:46:  TCR调测工具 V3.36
13:34:06:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
13:34:31:  log
13:34:36:  TCRControlCmdDLL
13:34:41:  20201009
13:34:46:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
13:34:51:  K64_BTCR-1100190803000_20201009133351
13:34:56:  Box_3__BTCR-1100190803000_20201009133351.log - DRB.tat* - TextAnalysisTool.NET
13:35:01:  K64_BTCR-1100190803000_20201009133351
13:35:21:  TCR调测工具 V3.36
13:35:26:  发送指令到K06
13:35:31:  TCR调测工具 V3.36
