11:40:13:  TCR调测工具 V3.36
11:40:33:  打开
11:40:38:  TCR调测工具 V3.36
11:41:28:  取款
11:41:33:  TCR调测工具 V3.36
11:43:13:  取款
11:43:23:  TCR调测工具 V3.36
11:44:28:  取款
11:44:33:  TCR调测工具 V3.36
11:44:28:  取款
11:44:33:  TCR调测工具 V3.36
11:46:28:  锁屏状态
13:06:14:  TCR调测工具 V3.36
13:06:19:  CashGateModuleApp.c - press2 - Visual Studio Code [管理员]
13:06:24:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
13:06:54:  20200713
13:07:04:  Decode
13:07:09:  K64_0000_20200713114432
13:07:14:  Box_1__0000_20200713114432.log - DRB.tat* - TextAnalysisTool.NET
13:07:34:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
13:07:54:  D:\00-KE64\trunk\Project\k64_rtt.uvprojx - μVision
13:08:14:  自动播放
13:09:35:  新建文本文档.exe - 快捷方式
13:09:50:  D:\00-KE64\trunk\Project\k64_rtt.uvprojx - μVision
13:12:52:  打开文件夹
13:15:19:  03 项目周报
13:15:44:  D:\00-KE64\trunk\Project\k64_rtt.uvprojx - μVision
13:15:49:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
13:15:54:  Tools
13:15:59:  D:\00-KE64\trunk\Tools\CreateJK.exe
13:16:04:  打开
13:16:14:  BTCRTestTool
13:16:19:  TCR调测工具 V3.36
13:16:39:  BTCRTestTool
13:20:25:  TCR调测工具 V3.36
13:20:30:  荆文波
13:20:40:  《毛泽东选集》湖南农民运动考察报告,毛泽东 - Internet Explorer
13:20:45:  CashGateModuleApp.c - press2 - Visual Studio Code [管理员]
13:22:45:  TCR调测工具 V3.36
13:24:50:  取款
13:24:55:  TCR调测工具 V3.36
13:25:00:  取款
13:25:05:  TCR调测工具 V3.36
13:25:40:  K64_0000_20200713114432
13:25:45:  取款
13:25:50:  TCR调测工具 V3.36
13:26:10:  D:\00-KE64\trunk\Project\k64_rtt.uvprojx - μVision
13:27:11:  20200713
13:27:26:  Decode
13:27:31:  K64_0000_20200713132546
13:27:36:  Box_1__0000_20200713132546.log - DRB.tat* - TextAnalysisTool.NET
13:27:51:  D:\00-KE64\trunk\Project\k64_rtt.uvprojx - μVision
13:29:27:  D:\00-KE64\trunk\Tools\CreateJK.exe
13:29:32:  Tools
13:29:37:  TCR调测工具 V3.36
13:29:57:  BTCRTestTool
13:30:02:  TCR调测工具 V3.36
13:29:27:  D:\00-KE64\trunk\Tools\CreateJK.exe
13:29:32:  Tools
13:29:37:  TCR调测工具 V3.36
13:29:57:  BTCRTestTool
13:30:02:  TCR调测工具 V3.36
13:30:57:  取款
13:31:02:  TCR调测工具 V3.36
13:31:07:  取款
13:31:12:  TCR调测工具 V3.36
13:32:12:  K64_0000_20200713132546
13:32:17:  20200713
13:32:22:  LOG
13:32:27:  Box_1__0000_20200713133111.log - DRB.tat* - TextAnalysisTool.NET
13:32:42:  TCR调测工具 V3.36
13:32:47:  取款
13:33:02:  D:\00-KE64\trunk\Project\k64_rtt.uvprojx - μVision
13:33:22:  D:\00-KE64\trunk\Tools\CreateJK.exe
13:33:27:  TCR调测工具 V3.36
13:33:32:  取款
13:33:57:  TCR调测工具 V3.36
13:34:02:  D:\00-KE64\trunk\Project\k64_rtt.uvprojx - μVision
13:34:07:  C:\Keil_v5\ARM\ARMCC\Bin\fromelf.exe
13:34:12:  TCR调测工具 V3.36
13:35:27:  取款
13:35:32:  TCR调测工具 V3.36
13:35:37:  取款
13:35:42:  TCR调测工具 V3.36
13:36:12:  20200713
13:36:32:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
13:36:37:  Box_1__0000_20200713133539.log - DRB.tat* - TextAnalysisTool.NET
13:37:07:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
13:37:12:  D:\00-KE64\trunk\Applications\FlowControl\CashPress\PressModuleIF.c (trunk) - Sublime Text (UNREGISTERED)
13:37:17:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
13:37:22:  D:\00-KE64\trunk\Applications\FlowControl\CashPress\PressModuleIF.c (trunk) - Sublime Text (UNREGISTERED)
13:37:27:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
13:37:42:  Box_1__0000_20200713133539.log - DRB.tat* - TextAnalysisTool.NET
13:37:48:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
13:37:53:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c • (trunk) - Sublime Text (UNREGISTERED)
