10:35:59:  锁屏状态
10:36:04:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
10:36:09:  Bus Hound
10:36:24:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
10:36:44:  Bus Hound
10:39:19:  eSpace
10:40:04:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
10:40:09:  D:\00-KE64\CRS-64\Applications\CanComm\SlaveBoardComm\EscBoardCmd.c (CRS-64) - Sublime Text (UNREGISTERED)
10:40:49:  D:\00-KE64\CRS-64\Applications\Update\Update.c (CRS-64) - Sublime Text (UNREGISTERED)
10:41:04:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExe.c (KE18-ESS) - Sublime Text (UNREGISTERED)
10:41:09:  D:\CRS\KE18-ESS\Applications\Update\Update.c (KE18-ESS) - Sublime Text (UNREGISTERED)
10:42:04:  Bus Hound
10:42:24:  DRB
10:42:29:  Bus Hound
10:43:09:  D:\CRS\KE18-ESS\Applications\Update\Update.c (KE18-ESS) - Sublime Text (UNREGISTERED)
10:43:14:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
10:43:24:  Bus Hound
10:43:29:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
10:43:34:  BTCRTestTool
10:43:39:  TCR调测工具（研发版）V1.0.0.4
10:43:44:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
10:44:04:  Bus Hound
10:44:34:  BTCRTestTool
10:44:39:  Bus Hound
10:44:44:  BTCRTestTool
10:44:49:  TCR调测工具（研发版）V1.0.0.4
10:45:04:  Bus Hound
10:44:34:  BTCRTestTool
10:44:39:  Bus Hound
10:44:44:  BTCRTestTool
10:44:49:  TCR调测工具（研发版）V1.0.0.4
10:45:04:  Bus Hound
10:45:54:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
10:46:29:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
10:47:04:  运行
10:47:09:  Program Manager
10:47:14:  运行
10:47:19:  样机配置履历表
10:47:24:  BTCR-1100-固件更改记录_V100.xls  [受保护的视图] - Excel
10:47:39:  BTCR-1100-固件更改记录_V100.xls  [兼容模式] - Excel
10:47:49:  本地磁盘 (D:)
10:47:54:  20200819-T95
10:47:59:  milestone.txt - 记事本
10:48:04:  20200819-T95
10:48:09:  milestone-KE06.txt - 记事本
10:48:14:  DRB
10:48:19:  milestone-k06.txt - 记事本
10:48:34:  fenxi
10:48:39:  00-06
10:48:44:  D:\00-06\1T1-Stop-Length\trunk - 日志信息 - TortoiseSVN
10:49:09:  BTCR-1100-固件更改记录_V100.xls  [兼容模式] - Excel
10:50:04:  锁屏状态
10:50:09:  BTCR-1100-固件更改记录_V100.xls  [兼容模式] - Excel
10:50:14:  D:\00-06\1T1-Stop-Length\trunk - 日志信息 - TortoiseSVN
10:50:24:  BTCR-1100-固件更改记录_V100.xls  [兼容模式] - Excel
10:51:04:  Bus Hound
10:51:24:  03 项目周报
10:51:44:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
10:52:29:  Watch 1
10:52:34:  打开
10:52:39:  TCR调测工具（研发版）V1.0.0.4
10:52:44:  打开
10:52:49:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
10:52:54:  BTCRTestTool
10:52:59:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
10:53:19:  BTCRTestTool
10:53:24:  TCR调测工具（研发版）V1.0.0.4
10:53:49:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
10:53:54:  TCR调测工具（研发版）V1.0.0.4
10:53:59:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
10:54:49:  TCR调测工具（研发版）V1.0.0.4
10:54:54:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
10:55:04:  TCR调测工具（研发版）V1.0.0.4
10:55:09:  Bus Hound
10:55:14:  锁屏状态
10:55:19:  BTCRTestTool
10:55:24:  TCR调测工具（研发版）V1.0.0.4
10:55:34:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
10:55:39:  TCR调测工具（研发版）V1.0.0.4
10:55:49:  Bus Hound
10:55:54:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
10:56:04:  Bus Hound
10:56:14:  TCR调测工具（研发版）V1.0.0.4
10:56:24:  Bus Hound
10:56:34:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
10:56:39:  BTCRTestTool
10:56:44:  Bus Hound
10:56:49:  TCR调测工具（研发版）V1.0.0.4
10:56:54:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
10:57:04:  TCR调测工具（研发版）V1.0.0.4
10:57:14:  Bus Hound
10:57:19:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
10:57:24:  Bus Hound
10:57:44:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
10:57:49:  锁屏状态
10:57:54:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
10:57:59:  D:\CRS\KE18-ESS\Applications\Update\Update.c (CRS-64) - Sublime Text (UNREGISTERED)
10:58:09:  D:\00-KE64\CRS-64\Applications\CanComm\CanComm.c (CRS-64) - Sublime Text (UNREGISTERED)
10:58:39:  D:\00-KE64\CRS-64\Rtos\OSLib.c (CRS-64) - Sublime Text (UNREGISTERED)
10:58:44:  D:\00-KE64\CRS-64\Applications\CanComm\CanComm.c (CRS-64) - Sublime Text (UNREGISTERED)
10:58:59:  D:\00-KE64\CRS-64\Drivers\CanDriver\SnbcCanDriver.h (CRS-64) - Sublime Text (UNREGISTERED)
10:59:04:  D:\00-KE64\CRS-64\Applications\CanComm\CanComm.c (CRS-64) - Sublime Text (UNREGISTERED)
10:58:09:  D:\00-KE64\CRS-64\Applications\CanComm\CanComm.c (CRS-64) - Sublime Text (UNREGISTERED)
10:58:39:  D:\00-KE64\CRS-64\Rtos\OSLib.c (CRS-64) - Sublime Text (UNREGISTERED)
10:58:44:  D:\00-KE64\CRS-64\Applications\CanComm\CanComm.c (CRS-64) - Sublime Text (UNREGISTERED)
10:58:59:  D:\00-KE64\CRS-64\Drivers\CanDriver\SnbcCanDriver.h (CRS-64) - Sublime Text (UNREGISTERED)
10:59:04:  D:\00-KE64\CRS-64\Applications\CanComm\CanComm.c (CRS-64) - Sublime Text (UNREGISTERED)
11:00:34:  D:\00-KE64\CRS-64\Drivers\CanDriver\SnbcCanDriver.c (CRS-64) - Sublime Text (UNREGISTERED)
11:01:14:  D:\00-KE64\CRS-64\Applications\CanComm\CanComm.c (CRS-64) - Sublime Text (UNREGISTERED)
11:01:24:  D:\00-KE64\CRS-64\Middlewares\Can\Can.c (CRS-64) - Sublime Text (UNREGISTERED)
11:01:34:  D:\00-KE64\CRS-64\Drivers\CanDriver\SnbcCanDriver.c (CRS-64) - Sublime Text (UNREGISTERED)
11:02:14:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
11:02:54:  D:\00-KE64\CRS-64\Drivers\K64Bsp\fsl_flexcan.h (CRS-64) - Sublime Text (UNREGISTERED)
11:02:59:  D:\00-KE64\CRS-64\Drivers\CanDriver\SnbcCanDriver.c (CRS-64) - Sublime Text (UNREGISTERED)
11:03:04:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
11:04:59:  D:\00-KE64\CRS-64\Drivers\CanDriver\SnbcCanDriver.c (CRS-64) - Sublime Text (UNREGISTERED)
11:05:09:  D:\00-KE64\CRS-64\Drivers\K64Bsp\fsl_flexcan.h (CRS-64) - Sublime Text (UNREGISTERED)
11:05:14:  D:\00-KE64\CRS-64\Cpu\MK64F12.h (CRS-64) - Sublime Text (UNREGISTERED)
11:05:24:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
11:05:39:  D:\00-KE64\CRS-64\Drivers\K64Bsp\fsl_flexcan.h (CRS-64) - Sublime Text (UNREGISTERED)
