10:29:43:  锁屏状态
10:29:48:  20201029.xls
10:29:53:  Excel
10:29:58:  加载期间出现问题
10:30:03:  20201029.xls
10:28:13:  锁屏状态
10:28:18:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:28:23:  新标签页 - Google Chrome
10:28:28:  首页 - 知乎 - Google Chrome
10:28:33:  (99+ 封私信 / 80 条消息) 首页 - 知乎 - Google Chrome
10:28:48:  (99+ 封私信 / 80 条消息) 拼多多坎 - 搜索结果 - 知乎 - Google Chrome
10:28:53:  D:\00-KE64\K64\Project\k64_rtt.uvprojx - μVision
10:28:58:  新建文本文档.exe - 快捷方式
10:29:03:  D:\00-KE64\K64\Project\k64_rtt.uvprojx - μVision
10:29:43:  锁屏状态
10:29:48:  20201029.xls
10:29:53:  Excel
10:29:58:  加载期间出现问题
10:30:03:  20201029.xls
10:30:08:  桌面整理
10:30:13:  考勤异常处理提醒
10:30:18:  桌面整理
10:41:18:  新标签页 - Google Chrome
10:41:23:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
10:41:28:  D:\00-06\1T1-Stop-Length\trunk\Applications\Instruction\InstrReturn.c (trunk) - Sublime Text (UNREGISTERED)
10:41:43:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
10:58:53:  D:\00-KE64\trunk - 工作副本 - TortoiseSVN
10:58:53:  D:\00-KE64\trunk - 工作副本 - TortoiseSVN
11:01:53:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
11:03:13:  运行
11:03:23:  TCR
11:03:28:  固件集成测试方案
11:03:33:  正在打开 - 6.2.2.5 钞箱测试1T1.xls
11:03:38:  6.2.2.5 钞箱测试1T1.xls  [受保护的视图] - Excel
11:03:43:  主控板集成测试方案-报告
11:03:53:  6.2.2.5 钞箱测试1T1 .xls  [兼容模式] - Excel
11:03:58:  CRS
11:04:03:  固件集成测试方案
11:04:08:  主控板集成测试方案-报告
11:04:13:  6.2.2.5 钞箱测试1T1.xls  [受保护的视图] - Excel
11:04:23:  6.2.2.5 钞箱测试1T1 .xls  [兼容模式] - Excel
11:04:33:  6.2.2.5 钞箱测试1T1.xls  [受保护的视图] - Excel
11:04:38:  6.2.2.5 钞箱测试1T1 .xls  [兼容模式] - Excel
11:06:33:  D:\00-06\DRB--\Applications\Track\Track.c (DRB--) - Sublime Text (UNREGISTERED)
11:07:58:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
11:08:18:  6.2.2.5 钞箱测试1T1.xls  [兼容模式] - Excel
11:08:23:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
11:08:28:  6.2.2.5 钞箱测试1T1 .xls  [兼容模式] - Excel
11:09:43:  6.2.2.5 钞箱测试1T1.xls  [兼容模式] - Excel
11:10:23:  6.2.2.5 钞箱测试1T1 .xls  [兼容模式] - Excel
11:18:18:  D:\00-06\DRB--\Applications\Track\Track.c (DRB--) - Sublime Text (UNREGISTERED)
11:18:48:  0-工作 - 张开发 - 印象笔记
11:18:53:  D:\00-06\DRB--\Applications\Track\Track.c (DRB--) - Sublime Text (UNREGISTERED)
11:22:43:  6号 稳定性校验
11:22:48:  D:\00-06\DRB--\Applications\Track\Track.c (DRB--) - Sublime Text (UNREGISTERED)
11:23:18:  锁屏状态
11:23:23:  Microsoft Excel
11:23:28:  20201029.xls  [只读] - Excel
11:23:33:  「开始」菜单
11:23:38:  主页 - Internet Explorer
11:23:43:  新北洋OA信息化平台 - Internet Explorer
11:23:53:  考勤异常 - Internet Explorer
11:24:08:  员工自助 - Internet Explorer
11:24:18:  新北洋OA信息化平台 - Internet Explorer
11:24:23:  员工自助 - Internet Explorer
11:24:38:  http://oa.byintra.com/HRWeb/PStiaozhuan/PStiaozhuan.aspx?type=3&YGID=107240 - Internet Explorer
11:24:43:  补签卡流程 - Internet Explorer
11:24:58:  开始
11:25:03:  系统登录 - Internet Explorer
11:25:08:  新北洋OA信息化平台 - Internet Explorer
11:25:13:  员工自助 - Internet Explorer
11:25:18:  新北洋OA信息化平台 - Internet Explorer
11:25:28:  http://oa.byintra.com/iBPM/BPM/DecryptUlt.aspx?Mode=Apply&TASKID=0929204b0592a1be9748f26c556c55 - Internet Explorer
11:25:33:  0_发起流程_补签卡流程 - Internet Explorer
11:25:38:  员工自助 - Internet Explorer
11:25:43:  新北洋OA信息化平台 - Internet Explorer
11:25:48:  0_发起流程_补签卡流程 - Internet Explorer
11:25:53:  新北洋OA信息化平台 - Internet Explorer
11:25:58:  补签卡流程 - Internet Explorer
13:05:49:  新北洋OA信息化平台 - Internet Explorer
13:05:54:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
13:06:09:  自动播放
13:06:14:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
13:17:49:  于斌1
13:17:59:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
13:19:04:  于斌1
13:21:24:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
13:21:29:  新北洋OA信息化平台 - Internet Explorer
13:21:39:  1_需求申请人_测试需求通知单II类提交 - Internet Explorer
13:21:54:  员工自助 - Internet Explorer
13:21:59:  考勤异常 - Internet Explorer
13:22:09:  新北洋OA信息化平台 - Internet Explorer
13:22:39:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
