08:01:59:  「开始」菜单
09:34:04:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
09:35:34:  MindMaster Pro
09:36:04:  计算器
09:36:39:  MindMaster Pro
09:39:04:  D:\00-06\1T1-Stop-Length\trunk\Tools\CreateJK.exe
09:39:09:  MindMaster Pro
09:39:44:  计算器
09:39:49:  Tools
09:45:44:  TCR调测工具 V3.36
09:45:49:  钞箱传感器
09:45:54:  TCR调测工具 V3.36
09:46:04:  BTCRTestTool
09:46:14:  TCR调测工具 V3.36
09:46:44:  钞箱传感器
09:46:49:  TCR调测工具 V3.36
09:46:54:  打开
09:46:59:  TCR调测工具 V3.36
09:47:04:  DRB-PRESS
09:47:09:  锁屏状态
09:47:14:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:47:19:  Project
09:47:24:  Tools
09:47:49:  锁屏状态
09:47:54:  TCR调测工具 V3.36
09:48:14:  打开
09:48:24:  TCR调测工具 V3.36
09:48:44:  BTCRTestTool
09:48:49:  TCR调测工具 V3.36
09:49:19:  BTCRTestTool
09:49:24:  TCR调测工具 V3.36
09:51:04:  钞箱配置
09:51:19:  TCR调测工具 V3.36
09:51:34:  新建Microsoft Excel 工作表.xlsx - Excel
09:51:59:  TCR调测工具 V3.36
09:53:34:  取款
09:53:39:  TCR调测工具 V3.36
09:57:34:  打开
09:57:44:  TCR调测工具 V3.36
09:58:14:  桌面整理
09:58:19:  ErrCode_list_txt_flg.txt - 记事本
09:58:24:  TCR调测工具 V3.36
09:58:34:  取款
09:58:39:  TCR调测工具 V3.36
09:58:49:  DRB传感器.txt - 记事本
09:59:09:  TCR调测工具 V3.36
09:58:14:  桌面整理
09:58:19:  ErrCode_list_txt_flg.txt - 记事本
09:58:24:  TCR调测工具 V3.36
09:58:34:  取款
09:58:39:  TCR调测工具 V3.36
09:58:49:  DRB传感器.txt - 记事本
09:59:09:  TCR调测工具 V3.36
10:00:59:  跳转列表
10:01:04:  TCR调测工具 V3.36
10:03:09:  BTCRTestTool V3.36
10:03:14:  20200608
10:03:24:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
10:03:29:  TCR调测工具 V3.36
10:03:34:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:04:45:  钞箱传感器
10:04:50:  TCR调测工具 V3.36
10:05:05:  DRB传感器.txt - 记事本
10:05:15:  TCR调测工具 V3.36
10:05:25:  Tools
10:05:30:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
10:05:35:  TCR调测工具 V3.36
10:05:40:  打开
10:05:45:  TCR调测工具 V3.36
10:05:50:  打开
10:05:55:  TCR调测工具 V3.36
10:06:05:  DRB传感器.txt - 记事本
10:06:10:  TCR调测工具 V3.36
10:06:15:  钞箱传感器
10:06:20:  TCR调测工具 V3.36
10:07:00:  钞箱传感器
10:07:05:  TCR调测工具 V3.36
10:07:30:  20200608
10:07:40:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
10:07:45:  Box_2__0000_20200608100641.log - DRB.tat* - TextAnalysisTool.NET
10:08:25:  TCR调测工具 V3.36
10:08:40:  计算器
10:08:55:  TCR调测工具 V3.36
