07:57:42:  D:\00-06\1T1-Stop-Length\trunk\Applications\PlateCtrl\PlateCtrl.c (trunk) - Sublime Text (UNREGISTERED)
08:57:40:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\GateModule.h (gfgd) - Sublime Text (UNREGISTERED)
08:57:45:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\GateModule.c (gfgd) - Sublime Text (UNREGISTERED)
08:58:10:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (gfgd) - Sublime Text (UNREGISTERED)
08:58:50:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
08:59:05:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (gfgd) - Sublime Text (UNREGISTERED)
08:59:15:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
08:59:30:  D:\00-KE64\10\Applications\FlowControl\TrackModule\GateModuleApp.c (10) - Sublime Text (UNREGISTERED)
08:59:40:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
08:58:10:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (gfgd) - Sublime Text (UNREGISTERED)
08:58:50:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
08:59:05:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (gfgd) - Sublime Text (UNREGISTERED)
08:59:15:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
08:59:30:  D:\00-KE64\10\Applications\FlowControl\TrackModule\GateModuleApp.c (10) - Sublime Text (UNREGISTERED)
08:59:40:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
09:00:10:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (gfgd) - Sublime Text (UNREGISTERED)
09:02:05:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
09:02:30:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (gfgd) - Sublime Text (UNREGISTERED)
09:02:40:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\GateModule.c (gfgd) - Sublime Text (UNREGISTERED)
09:02:45:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (gfgd) - Sublime Text (UNREGISTERED)
09:03:05:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\GateModule.c (gfgd) - Sublime Text (UNREGISTERED)
09:03:40:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\GateModule.c • (gfgd) - Sublime Text (UNREGISTERED)
09:04:00:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (gfgd) - Sublime Text (UNREGISTERED)
09:05:30:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\GateModule.c • (gfgd) - Sublime Text (UNREGISTERED)
09:06:05:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (gfgd) - Sublime Text (UNREGISTERED)
09:06:25:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (gfgd) - Sublime Text (UNREGISTERED)
09:06:35:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (gfgd) - Sublime Text (UNREGISTERED)
09:06:55:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\GateModule.c • (gfgd) - Sublime Text (UNREGISTERED)
09:07:35:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (gfgd) - Sublime Text (UNREGISTERED)
09:07:45:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\CashBoxModuleApp.c • (gfgd) - Sublime Text (UNREGISTERED)
09:07:50:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\GateModule.c • (gfgd) - Sublime Text (UNREGISTERED)
09:08:40:  Tools
09:08:45:  06- 刘建生
09:08:50:  TCR
09:08:55:  错误码
09:09:05:  回复: 转发: 整改后的DRB测试--3.22日 - 写邮件
09:09:40:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\GateModule.c • (gfgd) - Sublime Text (UNREGISTERED)
09:11:20:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (gfgd) - Sublime Text (UNREGISTERED)
09:11:25:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (gfgd) - Sublime Text (UNREGISTERED)
09:11:40:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\GateModule.c (gfgd) - Sublime Text (UNREGISTERED)
09:11:45:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\CashBoxModuleApp.c • (gfgd) - Sublime Text (UNREGISTERED)
09:12:15:  E:\深圳出差\gfgd\Project\k64_rtt.uvprojx - μVision
09:12:25:  本地磁盘 (E:)
09:12:30:  Tools
09:12:35:  E:\深圳出差\gfgd\Tools\CreateJK.exe
09:12:40:  未命名 - 写邮件
09:12:45:  BNE-R1200M_MASTER_K64_FV1010_FEDADV10_MAIN_T11 - 写邮件
09:12:55:  Tools
09:13:00:  于斌1
09:13:05:  eSpace
09:13:10:  于斌1
09:13:15:  eSpace
09:13:30:  自动播放
09:14:00:  错误码
09:14:05:  fenxi
09:14:10:  新建文件夹
09:14:15:  Decode
09:14:20:  K64_0002_20210323084520.log - DRB2.tat* - TextAnalysisTool.NET
09:14:50:  于斌1
09:15:00:  eSpace
09:14:05:  fenxi
09:14:10:  新建文件夹
09:14:15:  Decode
09:14:20:  K64_0002_20210323084520.log - DRB2.tat* - TextAnalysisTool.NET
09:14:50:  于斌1
09:15:00:  eSpace
09:15:10:  于斌1
09:15:35:  K64_0002_20210323084520.log - DRB2.tat* - TextAnalysisTool.NET
09:16:00:  于斌1
09:16:10:  锁屏状态
09:16:50:  新建文件夹
09:16:55:  K64_0002_20210323084520.log - DRB2.tat* - TextAnalysisTool.NET
09:17:00:  K64_0002_20210323091408.log - DRB2.tat* - TextAnalysisTool.NET
09:17:25:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\GateModule.c (gfgd) - Sublime Text (UNREGISTERED)
09:17:35:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\GateModule.h (gfgd) - Sublime Text (UNREGISTERED)
09:17:40:  K64_0002_20210323091408.log - DRB2.tat* - TextAnalysisTool.NET
09:17:45:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (gfgd) - Sublime Text (UNREGISTERED)
09:17:50:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\GateModule.c (gfgd) - Sublime Text (UNREGISTERED)
09:18:00:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\GateModule.h (gfgd) - Sublime Text (UNREGISTERED)
09:18:05:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\GateModule.c (gfgd) - Sublime Text (UNREGISTERED)
09:18:20:  D:\00-KE64\10\Applications\FlowControl\TrackModule\CashGateModuleApp.c (10) - Sublime Text (UNREGISTERED)
09:18:25:  D:\00-KE64\10\Applications\FlowControl\TrackMotor\MotorModuleIF.h (10) - Sublime Text (UNREGISTERED)
09:18:35:  D:\00-KE64\10\Applications\FlowControl\TrackModule\GateModule.c (10) - Sublime Text (UNREGISTERED)
09:18:55:  于斌1
09:19:05:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\GateModule.c (gfgd) - Sublime Text (UNREGISTERED)
09:19:30:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (gfgd) - Sublime Text (UNREGISTERED)
09:19:45:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\GateModule.c (gfgd) - Sublime Text (UNREGISTERED)
09:20:05:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (gfgd) - Sublime Text (UNREGISTERED)
09:20:15:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\GateModule.c (gfgd) - Sublime Text (UNREGISTERED)
09:20:30:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\GateModule.h (gfgd) - Sublime Text (UNREGISTERED)
09:20:35:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\GateModule.c (gfgd) - Sublime Text (UNREGISTERED)
09:21:00:  于斌1
09:21:05:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\GateModule.c (gfgd) - Sublime Text (UNREGISTERED)
09:22:05:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (gfgd) - Sublime Text (UNREGISTERED)
09:22:10:  E:\深圳出差\gfgd\Applications\FlowControl\TrackModule\GateModule.c (gfgd) - Sublime Text (UNREGISTERED)
09:22:15:  K64_0002_20210323091408.log - DRB2.tat* - TextAnalysisTool.NET
