11:38:06:  TCR调测工具 V3.36
11:40:21:  State.c - DRB-PRESS - Visual Studio Code [管理员]
11:40:36:  TCR调测工具 V3.36
11:40:41:  State.c - DRB-PRESS - Visual Studio Code [管理员]
11:42:01:  TCR调测工具 V3.36
11:42:26:  State.c - DRB-PRESS - Visual Studio Code [管理员]
11:42:56:  钞箱配置
11:43:01:  TCR调测工具 V3.36
11:43:36:  V1.003
11:43:41:  TCR调测工具 V3.36
11:43:46:  模块使能
11:43:51:  于斌1
11:43:56:  State.c - DRB-PRESS - Visual Studio Code [管理员]
11:44:41:  TCR调测工具 V3.36
11:44:41:  TCR调测工具 V3.36
11:45:26:  锁屏状态
