15:25:15:  K64_BTCR-1100200700510494_20201228141034
15:25:25:  荆文波
15:25:35:  LogExpert - D:\fenxi\100元手动放钞，普通取款第5张报通道传输过程中卡钞 在预定的时间内未到达下一个传感器  返回码0X824601B4，钞箱内纸币状态正常\Decode\LOG\K64_BTCR-1100200700510494_20201228141034\K64-_BTCR-1100200700510494_20201228141034.log
15:26:10:  K64_BTCR-1100200700510494_20201228141034
15:26:15:  Box_3__BTCR-1100200700510494_20201228141034.log - DRB.tat* - TextAnalysisTool.NET
15:27:30:  荆文波
15:27:35:  Box_3__BTCR-1100200700510494_20201228141034.log - DRB.tat* - TextAnalysisTool.NET
15:27:55:  K64_BTCR-1100200700510494_20201228141034
15:28:00:  Box_3__BTCR-1100200700510494_20201228140854.log - DRB.tat* - TextAnalysisTool.NET
15:28:10:  K64-_BTCR-1100200700510494_20201228140854.log - DRB.tat* - TextAnalysisTool.NET
15:28:15:  LogExpert #1 - D:\fenxi\100元手动放钞，普通取款第5张报通道传输过程中卡钞 在预定的时间内未到达下一个传感器  返回码0X824601B4，钞箱内纸币状态正常\Decode\LOG\K64_BTCR-1100200700510494_20201228140854\K64-_BTCR-1100200700510494_20201228140854.log
15:28:20:  荆文波
15:28:25:  LogExpert #1 - D:\fenxi\100元手动放钞，普通取款第5张报通道传输过程中卡钞 在预定的时间内未到达下一个传感器  返回码0X824601B4，钞箱内纸币状态正常\Decode\LOG\K64_BTCR-1100200700510494_20201228140854\K64-_BTCR-1100200700510494_20201228140854.log
15:28:30:  荆文波
15:28:55:  LogExpert #1 - D:\fenxi\100元手动放钞，普通取款第5张报通道传输过程中卡钞 在预定的时间内未到达下一个传感器  返回码0X824601B4，钞箱内纸币状态正常\Decode\LOG\K64_BTCR-1100200700510494_20201228140854\K64-_BTCR-1100200700510494_20201228140854.log
15:29:15:  LogExpert #2 - D:\fenxi\100元手动放钞，普通取款第5张报通道传输过程中卡钞 在预定的时间内未到达下一个传感器  返回码0X824601B4，钞箱内纸币状态正常\Decode\LOG\K64_BTCR-1100200700510494_20201228141034\K64-_BTCR-1100200700510494_20201228141034.log
15:29:45:  荆文波
