07:57:56:  DRB测试缺陷-3.17.xlsx  [只读] - Excel
08:04:16:  Microsoft Windows
10:19:25:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_K06_MAIN - 日志信息 - TortoiseSVN
10:19:55:   - 版本库浏览器 - TortoiseSVN
10:20:10:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_K0.../BR-2-CashBox1T2-Press - 属性 - TortoiseSVN
10:20:15:   - 版本库浏览器 - TortoiseSVN
10:20:40:  D:\00-06\DRB - 复制（分支/标记） - TortoiseSVN
10:20:45:  WinRAR
10:20:50:  subproject0.txt - 记事本
10:21:00:  DRB
10:21:10:  FwLib
10:21:15:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle - 加入 - TortoiseSVN
10:21:20:  FwLib
10:21:25:  subproject1.txt - 记事本
10:21:55:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:22:25:  subproject1.txt - 记事本
10:22:50:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
10:22:55:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:24:10:  00-06
10:24:15:  历史记录
10:24:20:  D:\00-06\DRB - 提交 - TortoiseSVN
10:24:25:  D:\00-06\DRB - 日志信息 - TortoiseSVN
10:24:45:  更新 失败！
10:24:50:  D:\00-06\DRB - 日志信息 - TortoiseSVN
10:25:00:  TortoiseSVN
10:25:10:  D:\00-06\DRB - 日志信息 - TortoiseSVN
10:25:20:  已改变的文件
10:25:40:  D:\00-06\DRB - 日志信息 - TortoiseSVN
10:25:45:  已改变的文件
10:25:50:  DRB
10:26:15:  BR-1-CashBox1T2-Press.txt - 记事本
10:26:20:  DRB
10:26:30:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
10:26:35:  DRB
10:26:40:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:27:00:  DRB
10:27:10:  Middlewares
10:27:15:  DRB
10:27:25:  PrintService.c - TortoiseMerge
10:27:30:  D:\00-06\DRB - 提交 - TortoiseSVN
10:27:50:  新北洋OA信息化平台 - Internet Explorer
10:27:55:  D:\00-06\DRB - 提交 - TortoiseSVN
10:28:00:  http://tortoisesvn.net/ - Internet Explorer
10:28:10:  KeilCompileInfo(8).zip - WinRAR (非商业个人版)
10:28:15:  subproject2.txt - 记事本
10:28:25:  subproject0.txt - 记事本
10:28:35:  Options for Target 'CashBox_1T2'
10:28:40:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:28:45:  subproject0.txt - 记事本
10:29:05:  Options for Target 'CashBox_1T2'
10:29:10:  Folder Setup
10:29:20:  浏览文件夹
10:29:25:  FlashCircRecordMoudle
10:29:30:  inc
10:29:35:  浏览文件夹
10:29:45:  Folder Setup
10:29:50:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:28:10:  KeilCompileInfo(8).zip - WinRAR (非商业个人版)
10:28:15:  subproject2.txt - 记事本
10:28:25:  subproject0.txt - 记事本
10:28:35:  Options for Target 'CashBox_1T2'
10:28:40:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:28:45:  subproject0.txt - 记事本
10:29:05:  Options for Target 'CashBox_1T2'
10:29:10:  Folder Setup
10:29:20:  浏览文件夹
10:29:25:  FlashCircRecordMoudle
10:29:30:  inc
10:29:35:  浏览文件夹
10:29:45:  Folder Setup
10:29:50:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:31:01:  DRB
10:31:06:  历史记录
10:31:11:  提交 失败！
10:31:16:  D:\00-06\DRB - 提交 - TortoiseSVN
10:31:21:  Windows 安全
