09:04:24:  Bin
13:16:41:  TCR调测工具 V3.36
13:16:46:  「开始」菜单
13:16:51:  Bus Hound
13:16:56:  TCR调测工具 V3.36
13:17:11:  托板控制
13:17:36:  Bus Hound
13:17:51:  托板控制
13:17:56:  TCR调测工具 V3.36
13:18:06:  D:\00-KE64\7\trunk\Applications\InstrExp\InstrGSProcess.c (trunk) - Sublime Text (UNREGISTERED)
13:18:36:  D:\00-KE64\7\trunk\Applications\InstrExp\InstrGSProcess.c • (trunk) - Sublime Text (UNREGISTERED)
13:18:56:  D:\00-KE64\7\trunk\Applications\FlowControl\Plate\PlateModuleIF.c (trunk) - Sublime Text (UNREGISTERED)
13:19:06:  D:\00-KE64\7\trunk\Applications\InstrExp\InstrGSProcess.c • (trunk) - Sublime Text (UNREGISTERED)
13:20:11:  D:\00-KE64\7\trunk\Applications\FlowControl\Plate\PlateModuleIF.c (trunk) - Sublime Text (UNREGISTERED)
13:20:16:  D:\00-KE64\7\trunk\Applications\FlowControl\Plate\PlateModuleIF.h (trunk) - Sublime Text (UNREGISTERED)
13:20:21:  D:\00-KE64\7\trunk\Applications\InstrExp\InstrGSProcess.c • (trunk) - Sublime Text (UNREGISTERED)
13:20:36:  D:\00-KE64\7\trunk\Applications\FlowControl\Plate\PlateModuleIF.c (trunk) - Sublime Text (UNREGISTERED)
13:20:56:  D:\00-KE64\7\trunk\Applications\FlowControl\Plate\PlateDriver.c (trunk) - Sublime Text (UNREGISTERED)
13:21:01:  D:\00-KE64\7\trunk\Applications\InstrExp\InstrGSProcess.c • (trunk) - Sublime Text (UNREGISTERED)
13:21:11:  D:\00-KE64\7\trunk\Applications\InstrExp\InstrGSProcess.c (trunk) - Sublime Text (UNREGISTERED)
13:21:16:  D:\00-KE64\7\trunk\Project\k64_rtt.uvprojx - μVision
13:22:26:  TCR调测工具 V3.36
13:22:31:  托板控制
13:22:56:  TCR调测工具 V3.36
13:24:11:  托板控制
13:25:16:  D:\00-KE64\7\trunk\Project\k64_rtt.uvprojx - μVision
13:25:21:  K64_0000_20200330113558
13:25:26:  20200330
13:25:31:  Decode
13:25:36:  K64_0000_20200330113558
13:25:41:  Box_2__0000_20200330113558.log - K64状态机分析.tat* - TextAnalysisTool.NET
13:26:36:  TCR调测工具 V3.36
13:26:41:  托板控制
13:32:11:  锁屏状态
13:32:16:  Bus Hound
13:32:21:  托板控制
13:32:36:  D:\00-KE64\7\trunk\Applications\InstrExp\InstrGSProcess.c (trunk) - Sublime Text (UNREGISTERED)
13:32:56:  D:\00-KE64\7\trunk\Applications\InstrExp\InstrGSProcess.c • (trunk) - Sublime Text (UNREGISTERED)
13:33:01:  D:\00-KE64\7\trunk\Applications\InstrExp\InstrGSProcess.c (trunk) - Sublime Text (UNREGISTERED)
