08:00:08:  D:\00-KE64\select - 工作副本 - TortoiseSVN
10:46:26:  本地磁盘 (D:)
10:46:31:  fenxi
10:46:36:  T21
10:46:46:  D:\fenxi\T21\BTCR-1100_BOX1T2_KE06_FV1001_EXTFEDU6V11_V100_CASHBOX1T2_RB.EEP (DRB) - Sublime Text (UNREGISTERED)
10:46:51:  This is an unregistered copy
10:46:56:  D:\fenxi\T21\BTCR-1100_BOX1T2_KE06_FV1001_EXTFEDU6V11_V100_CASHBOX1T2_RB.EEP (DRB) - Sublime Text (UNREGISTERED)
10:47:06:  TCR
10:47:11:  最新固件
10:47:16:  K06
10:47:21:  \\192.168.28.47\08tcr测试过程记录\样机配置履历表\TCR\固件版本\最新固件\K06\BTCR-1100_BOX1T2_KE06_FV1001_EXTFEDU6V11_V100_CASHBOX1T2_RB.EEP (DRB) - Sublime Text (UNREGISTERED)
10:47:36:  K06
10:47:51:  fenxi
10:47:56:  T21
10:48:01:  fenxi
10:48:06:  本地磁盘 (D:)
10:48:11:  Tools
10:48:16:  T21
10:48:31:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:48:41:  Tools
10:49:07:  D:\00-06\DRB\Tools\Ex.exe
10:49:17:  Tools
10:49:22:  D:\00-06\DRB\Tools\CreateJK.exe
10:49:42:  T21
10:49:52:  正在打开 - Word
10:50:42:  BTCR-1100_钞箱(K06)_EEPROM配置表_V100.doc [兼容模式] - Word
10:51:27:  T21
10:51:32:  BTCR-1100-EEPROM更改记录_V100.xls  [兼容模式] - Excel
10:52:47:  T21
10:52:52:  D:\fenxi\T21\BTCR-1100_BOX1T2_KE06_FV1001_EXTFEDU6V11_V100_CASHBOX1T2_RB.EEP (DRB) - Sublime Text (UNREGISTERED)
10:53:12:  系统测试过程数据
10:53:17:  样机配置履历表
10:53:22:  BTCR-1100-EEPROM更改记录_V100.xls  [受保护的视图] - Excel
10:53:42:  TCR
10:53:47:  T21
10:54:02:  BTCR-1100-固件更改记录_V100.xls  [兼容模式] - Excel
10:54:07:  T21
10:54:12:  BTCR-1100-EEPROM更改记录_V100.xls  [兼容模式] - Excel
10:54:27:  Excel
10:54:32:  BTCR-1100-EEPROM更改记录_V100.xls  [兼容模式] - Excel
10:54:47:  T21
10:54:52:  BTCR-1100-EEPROM更改记录_V101.xls  [兼容模式] - Excel
10:54:57:  BTCR-1100-EEPROM更改记录_V100.xls  [兼容模式] - Excel
10:55:17:  BTCR-1100-EEPROM更改记录_V101.xls  [兼容模式] - Excel
10:55:22:  BTCR-1100-EEPROM更改记录_V100.xls  [兼容模式] - Excel
10:55:27:  设置单元格格式
10:55:37:  BTCR-1100-EEPROM更改记录_V100.xls  [兼容模式] - Excel
10:55:57:  BTCR-1100-EEPROM更改记录_V101.xls  [兼容模式] - Excel
10:56:07:  BTCR-1100-EEPROM更改记录_V100.xls  [兼容模式] - Excel
10:56:12:  T21
10:56:17:  文件正在使用
10:56:22:  T21
10:56:52:  eSpace
10:56:57:  于斌1
10:57:17:  T21
10:57:37:  主页 - Internet Explorer
10:57:42:  新北洋OA信息化平台 - Internet Explorer
10:57:52:  T21
10:57:57:  于斌1
10:58:37:  D:\00-06\DRB\Middlewares\Bldc\Bldc.c (DRB) - Sublime Text (UNREGISTERED)
10:58:42:  T21
10:58:47:  于斌1
10:59:47:  T21
10:59:52:  Tools
10:59:57:  DRB
10:58:37:  D:\00-06\DRB\Middlewares\Bldc\Bldc.c (DRB) - Sublime Text (UNREGISTERED)
10:58:42:  T21
10:58:47:  于斌1
10:59:47:  T21
10:59:52:  Tools
10:59:57:  DRB
11:00:12:  D:\00-06\DRB - 日志信息 - TortoiseSVN
11:02:17:  于斌1
11:06:27:  BTCR-1100-固件更改记录_V100.xls  [兼容模式] - Excel
11:06:42:  D:\00-06\DRB - 日志信息 - TortoiseSVN
11:09:22:  BTCR-1100-固件更改记录_V100.xls  [兼容模式] - Excel
11:13:27:  D:\00-06\DRB - 日志信息 - TortoiseSVN
11:13:47:  eSpace
11:13:57:  D:\00-06\DRB - 日志信息 - TortoiseSVN
11:15:27:  D:\00-06\DRB\Middlewares\Bldc\Bldc.c (DRB) - Sublime Text (UNREGISTERED)
11:15:32:  Subversion
11:15:37:  图片
11:15:47:  截图.PNG - Windows 照片查看器
11:16:37:  图片
11:16:42:  D:\00-06\DRB\Middlewares\Bldc\Bldc.c (DRB) - Sublime Text (UNREGISTERED)
11:17:12:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
11:17:22:  0-工作 - 张开发 - 印象笔记
11:19:07:  T21
11:19:27:  D:\00-06\DRB\Middlewares\Bldc\Bldc.c (DRB) - Sublime Text (UNREGISTERED)
11:27:27:  eSpace
11:27:32:  设置
11:29:27:  D:\00-06\DRB\Middlewares\Bldc\Bldc.c (DRB) - Sublime Text (UNREGISTERED)
11:29:27:  D:\00-06\DRB\Middlewares\Bldc\Bldc.c (DRB) - Sublime Text (UNREGISTERED)
11:30:12:  T21
11:30:22:  fenxi
11:30:27:  12.py - D:\fenxi\12.py (3.7.3)
11:30:32:  fenxi
11:30:37:  文档
11:30:42:  alipay_record_20210111_1318
11:30:52:  12.py - C:\Users\zhangkaifa\Downloads\alipay_record_20210111_1318\12.py (3.7.3)
11:30:57:  Python 3.7.3 Shell
11:31:02:  12.py - C:\Users\zhangkaifa\Downloads\alipay_record_20210111_1318\12.py (3.7.3)
11:31:12:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
11:32:02:  TCR
11:32:07:  样机配置履历表.xlsx  [受保护的视图] - Excel
11:32:47:  5.18 传感器测试v1.1.xlsx - Excel
11:32:52:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
11:33:22:  alipay_record_20210111_1318
11:33:27:  主页 - Internet Explorer
11:33:32:  新北洋OA信息化平台 - Internet Explorer
11:33:47:  新北洋2021年节假日列表.xlsx  [受保护的视图] - Excel
11:34:02:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
11:35:27:  于斌1
11:35:37:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
11:35:42:  于斌1
11:35:57:  eSpace
11:37:02:  新北洋OA信息化平台 - Internet Explorer
11:37:07:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
11:37:32:  新北洋OA信息化平台 - Internet Explorer
11:37:52:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
11:38:07:  「开始」菜单
11:38:32:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
11:40:17:  锁屏状态
13:20:43:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
13:20:48:  本地磁盘 (D:)
13:20:58:  锁屏状态
13:21:03:  荆文波
13:21:08:  本地磁盘 (D:)
13:22:27:  荆文波
13:23:51:  C:\Windows\system32\cmd.exe
13:25:15:  本地磁盘 (D:)
13:25:20:  荆文波
13:25:30:  TCR调测工具 V3.36
13:25:40:  打开
13:25:45:  TCR调测工具 V3.36
13:26:00:  荆文波
13:28:04:  打开
13:28:09:  TCR调测工具 V3.36
13:28:44:  钞箱传感器
13:28:49:  0-工作 - 张开发 - 印象笔记
13:28:09:  TCR调测工具 V3.36
13:28:44:  钞箱传感器
13:28:49:  0-工作 - 张开发 - 印象笔记
13:33:33:  TCR调测工具 V3.36
13:34:28:  取款
13:34:33:  钞箱配置
13:34:38:  TCR调测工具 V3.36
13:35:03:  取款
13:35:08:  BTCRTestTool
13:35:13:  TCR调测工具 V3.36
13:36:03:  BTCRTestTool 属性
13:36:08:  20210309
13:36:23:  K64_0000_20210309133505
13:36:28:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
13:36:38:  Decode
13:36:43:  K64_0000_20210309133505.log - DRB.tat* - TextAnalysisTool.NET
