09:35:28:  log_decrypt_class.c - DRB-NearFull - Visual Studio Code [管理员]
09:41:00:  【周报更新】TCR/DRB和CRS周报更新
09:41:05:  log_decrypt_class.c - DRB-NearFull - Visual Studio Code [管理员]
09:41:51:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
09:41:56:  log_decrypt_class.c - DRB-NearFull - Visual Studio Code [管理员]
09:50:21:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
09:50:26:  设置 - DRB-NearFull - Visual Studio Code [管理员]
09:50:31:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:00:17:  ● CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
10:00:22:  log_decrypt_class.c - DRB-NearFull - Visual Studio Code [管理员]
10:10:37:  eSpace
10:10:42:  程明昌
10:11:02:  戚晓东
10:11:07:  程明昌
10:11:47:  log_decrypt_class.c - DRB-NearFull - Visual Studio Code [管理员]
10:12:17:  程明昌
10:12:37:  log_decrypt_class.c - DRB-NearFull - Visual Studio Code [管理员]
10:14:07:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
10:14:07:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
10:15:32:  主页 - Internet Explorer
10:15:37:  新建文本文档.exe - 快捷方式
10:15:42:  主页 - Internet Explorer
10:15:47:  系统登录 - Internet Explorer
10:15:52:  新北洋OA信息化平台 - Internet Explorer
10:16:22:  BNE-R1200M_固件集成测试方案_V100.xls  [兼容模式] - Excel
10:16:27:  新建Microsoft Excel 工作表.xlsx - Excel
10:16:37:  2020年新北洋张村食堂12.7-12.13日菜谱.xlsx  [受保护的视图] - Excel
10:16:42:  新建Microsoft Excel 工作表.xlsx - Excel
10:20:12:  eSpace
10:20:17:  新建Microsoft Excel 工作表.xlsx - Excel
10:24:27:  明昌小工具
10:24:32:  新建文件夹 (3)
10:24:37:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
10:25:17:  新建文件夹 (3)
10:25:22:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
10:25:27:  程明昌
10:25:32:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
10:28:02:  eSpace
10:28:17:  svnn
10:28:22:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
10:28:17:  svnn
10:28:22:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
10:34:02:  eSpace
10:34:07:  于斌1
10:34:32:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
10:34:37:  于斌1
10:35:02:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
10:41:17:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:46:37:  eSpace
10:46:42:  程明昌
10:47:27:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:47:32:  程明昌
10:47:42:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:48:27:  程明昌
10:49:27:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:50:12:  程明昌
10:50:27:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:53:27:  程明昌
