10:55:03:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
10:55:13:  关于春节返乡行程计划信息填报通知
10:58:38:  eSpace
10:58:53:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202102011050.log
10:59:38:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
10:59:53:  D:\00-06\meger\Middlewares\Plate\PressurePlate.c (meger) - Sublime Text (UNREGISTERED)
10:58:38:  eSpace
10:58:53:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202102011050.log
10:59:38:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
10:59:53:  D:\00-06\meger\Middlewares\Plate\PressurePlate.c (meger) - Sublime Text (UNREGISTERED)
11:00:08:  D:\00-06\meger\Middlewares\Plate\PressurePlate.c • (meger) - Sublime Text (UNREGISTERED)
11:00:58:  D:\00-06\meger\Middlewares\Plate\PressurePlate.h (meger) - Sublime Text (UNREGISTERED)
11:01:13:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
11:01:43:  Toolbox
11:01:48:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
11:02:18:  KE06LOG.bat - 快捷方式 (2)
11:02:23:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
11:02:48:  LogExpert #1 - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202102011102.log
11:03:18:  计算器
11:03:33:  D:\00-06\meger\Middlewares\Plate\PressurePlate.h (meger) - Sublime Text (UNREGISTERED)
11:03:43:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c (meger) - Sublime Text (UNREGISTERED)
11:03:48:  D:\00-06\meger\Middlewares\Plate\PressurePlate.c • (meger) - Sublime Text (UNREGISTERED)
11:03:53:  计算器
11:04:28:  D:\00-06\meger\Middlewares\Plate\PressurePlate.c • (meger) - Sublime Text (UNREGISTERED)
11:04:33:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c (meger) - Sublime Text (UNREGISTERED)
11:06:19:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
11:06:24:  C:\Keil_v5\ARM\ARMCC\Bin\fromelf.exe
11:06:29:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
11:06:49:  Toolbox
11:06:54:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
11:07:14:  KE06LOG.bat - 快捷方式 (2)
11:07:24:  LogExpert #2 - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202102011107.log
11:07:29:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
11:08:29:  LogExpert #2 - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202102011107.log
11:08:49:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
11:08:59:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c (meger) - Sublime Text (UNREGISTERED)
11:09:04:  D:\00-06\meger\Middlewares\Plate\PressurePlate.c • (meger) - Sublime Text (UNREGISTERED)
11:09:14:  D:\00-06\meger\Middlewares\Plate\PressurePlate.c (meger) - Sublime Text (UNREGISTERED)
11:09:44:  LogExpert #2 - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202102011107.log
11:09:49:  D:\00-06\meger\Middlewares\Plate\PressurePlate.c (meger) - Sublime Text (UNREGISTERED)
11:10:14:  D:\00-06\meger\Middlewares\Plate\PressurePlate.c • (meger) - Sublime Text (UNREGISTERED)
11:10:19:  D:\00-06\DRB-1.3\Project\CashBox_1T2.uvprojx - μVision
11:10:34:  D:\00-06\meger\Middlewares\Plate\PressurePlate.c (meger) - Sublime Text (UNREGISTERED)
11:10:39:  D:\00-06\meger\Applications\State\State.c (meger) - Sublime Text (UNREGISTERED)
