10:48:34:  (3条消息) 树莓派4B-Python-控制舵机_羽之翼的博客-CSDN博客 - Google Chrome
10:48:49:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:48:59:  树莓派4b python 控制舵机_百度搜索 - Google Chrome
10:49:04:  树莓派基于python的pwm产生_SXH博客-CSDN博客 - Google Chrome
10:49:09:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:51:59:  KE18LOG.bat - 快捷方式
10:52:09:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202012031051.log
10:52:29:  2000 ,1999 ,1998 ,1997 ,1994 ,1992 ,1988 ,1984 ,19 • (DRB--) - Sublime Text (UNREGISTERED)
10:52:34:  [TRACE]:50  2000 • (DRB--) - Sublime Text (UNREGISTERED)
10:52:39:  ,2000 • (DRB--) - Sublime Text (UNREGISTERED)
10:52:44:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202012031051.log
10:52:49:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:53:19:  ,2000 ,1999 ,1997 ,1994 ,1989 ,1984 ,1977 ,1969 ,1 • (DRB--) - Sublime Text (UNREGISTERED)
10:53:24:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:53:39:  ,2000 • (DRB--) - Sublime Text (UNREGISTERED)
10:53:44:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202012031051.log
10:53:49:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:54:04:  Toolbox
10:54:09:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:54:14:  发送指令到K18
10:54:24:  CRS调测工具（研发版）V1.0.2.1
10:54:29:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:56:14:  CRS调测工具（研发版）V1.0.2.1
10:56:29:  20201202
10:56:34:  LogExpert - C:\Users\zhangkaifa\Desktop\CRSTesttool_20201125\CRSTesttool_20201125(2)\CRSTesttool_20201125\log\TCRControlCmdDLL\20201202\Decode\CS_0000_20201202110121.log
10:56:44:  Decode
10:56:49:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:57:09:  计算器
10:57:54:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:58:09:  发送指令到K18
10:58:14:  20201202
10:58:19:  Decode
10:58:24:  CS_0000_20201202110121.log - [No filter file] - TextAnalysisTool.NET
10:58:39:  计算器
10:59:29:  Decode
10:59:34:  计算器
10:58:09:  发送指令到K18
10:58:14:  20201202
10:58:19:  Decode
10:58:24:  CS_0000_20201202110121.log - [No filter file] - TextAnalysisTool.NET
10:58:39:  计算器
10:59:29:  Decode
10:59:34:  计算器
11:07:14:  BNE-R1200M_固件集成测试方案_V100.xls  [兼容模式] - Excel
11:07:29:  本地磁盘 (E:)
