09:59:50:  RTT_SeggerLog_202007270959.log - DRB.tat* - TextAnalysisTool.NET
09:59:55:  新建 Microsoft Excel 工作表.xlsx - Excel
09:58:55:  C:\Keil_v5\ARM\ARMCC\Bin\fromelf.exe
09:59:00:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:59:20:  Watch 1
09:59:25:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:59:30:  KE06LOG.bat - 快捷方式 (2)
09:59:50:  RTT_SeggerLog_202007270959.log - DRB.tat* - TextAnalysisTool.NET
09:59:55:  新建 Microsoft Excel 工作表.xlsx - Excel
10:00:25:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:01:05:  Watch 1
10:01:10:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:01:15:  KE06LOG.bat - 快捷方式 (2)
10:01:20:  RTT_SeggerLog_202007270959.log - DRB.tat* - TextAnalysisTool.NET
10:01:35:  RTT_SeggerLog_202007271001.log - DRB.tat* - TextAnalysisTool.NET
10:01:40:  新建 Microsoft Excel 工作表.xlsx - Excel
10:01:45:  文本分列向导 - 第 1 步，共 3 步
10:01:50:  新建 Microsoft Excel 工作表.xlsx - Excel
10:02:25:  查找和替换
10:02:40:  新建 Microsoft Excel 工作表.xlsx - Excel
10:03:05:  文本分列向导 - 第 1 步，共 3 步
10:03:10:  新建 Microsoft Excel 工作表.xlsx - Excel
10:03:50:  查找和替换
10:03:55:  Watch 1
10:04:00:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:04:15:  D:\00-06\DRB-PRESS\Drivers\PeripheralDriver\FtmDriver\CapDriver\CapDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:04:20:  D:\00-06\DRB-PRESS\Drivers\PeripheralDriver\FtmDriver\CapDriver\CapDriver.c • (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:04:30:  D:\00-06\DRB-PRESS\Drivers\PeripheralDriver\FtmDriver\CapDriver\CapDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:04:35:  μVision
10:04:40:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:05:25:  Watch 1
10:05:55:  RTT_SeggerLog_202007241819.log 属性
10:06:00:  接收
10:06:15:  RTT_SeggerLog_202007241819.log 属性
10:06:25:  RTT_SeggerLog_202007271005.log - DRB.tat* - TextAnalysisTool.NET
10:06:50:  新建 Microsoft Excel 工作表.xlsx - Excel
10:06:55:  文本分列向导 - 第 1 步，共 3 步
10:07:00:  新建 Microsoft Excel 工作表.xlsx - Excel
10:07:15:  选择数据源
10:07:30:  新建 Microsoft Excel 工作表.xlsx - Excel
10:07:35:  D:\00-06\DRB-PRESS\Drivers\PeripheralDriver\FtmDriver\CapDriver\CapDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:07:40:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:08:20:  Watch 1
10:08:30:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:08:45:  新建 Microsoft Excel 工作表.xlsx - Excel
10:09:15:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:10:00:  Toolbox
10:10:05:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:10:10:  Watch 1
10:10:15:  KE06LOG.bat - 快捷方式 (2)
10:10:20:  RTT_SeggerLog_202007271008.log - DRB.tat* - TextAnalysisTool.NET
10:10:25:  RTT_SeggerLog_202007271010.log - DRB.tat* - TextAnalysisTool.NET
10:10:30:  新建 Microsoft Excel 工作表.xlsx - Excel
10:10:50:  选择数据源
10:10:55:  新建 Microsoft Excel 工作表.xlsx - Excel
10:11:10:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:11:35:  新建 Microsoft Excel 工作表.xlsx - Excel
