09:31:05:  TCR调测工具 V3.36
09:31:10:  取款
09:31:15:  TCR调测工具 V3.36
09:32:35:  20200618
09:33:05:  TCR调测工具 V3.36
09:33:15:  取款
09:33:20:  TCR调测工具 V3.36
09:34:30:  取款
09:34:40:  TCR调测工具 V3.36
09:35:50:  取款
09:35:55:  TCR调测工具 V3.36
09:37:05:  20200618
09:38:05:  Decode
09:38:10:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
09:38:15:  Decode
09:38:30:  LOG
09:38:35:  Box_1__0000_20200618083007.log - DRB.tat* - TextAnalysisTool.NET
09:38:40:  Box_1__0000_20200618093553.log - DRB.tat* - TextAnalysisTool.NET
09:39:00:  
09:39:05:  D:\00-18\TCR-18\Applications\LimitPoleCtrl\LimitPoleCtrl.c (TCR-18) - Sublime Text (UNREGISTERED)
09:39:10:  选择文件夹
09:39:25:  D:\00-18\TCR-18\Applications\LimitPoleCtrl\LimitPoleCtrl.c (TCR-18) - Sublime Text (UNREGISTERED)
09:39:30:  untitled (Press) - Sublime Text (UNREGISTERED)
09:39:35:  TCR调测工具 V3.36
09:39:40:  选择文件夹
09:39:45:  untitled (press2) - Sublime Text (UNREGISTERED)
09:39:50:  D:\00-KE64\press2\Applications\FlowControl\TrackModule\CashGateModuleApp.c (press2) - Sublime Text (UNREGISTERED)
09:40:10:  打开
09:40:20:  TCR调测工具 V3.36
09:40:25:  D:\00-KE64\press2\Applications\FlowControl\TrackModule\CashGateModuleApp.c (press2) - Sublime Text (UNREGISTERED)
09:40:40:  BTCRTestTool
09:40:45:  K64_0000_20200618093553
09:40:50:  Project
09:40:55:  D:\00-KE64\press2\Project\k64_rtt.uvprojx - μVision
09:41:15:  Box_1__0000_20200618093553.log - DRB.tat* - TextAnalysisTool.NET
09:43:00:  D:\00-KE64\press2\Project\k64_rtt.uvprojx - μVision
09:43:05:  取款
09:43:15:  D:\00-KE64\press2\Project\k64_rtt.uvprojx - μVision
09:43:30:  
09:43:35:  Project
09:43:40:  TCR调测工具 V3.36
09:44:15:  press2
09:44:20:  20200618
09:44:35:  TCR调测工具 V3.36
09:44:40:  20200618
09:44:45:  Box_1__0000_20200618093553.log - DRB.tat* - TextAnalysisTool.NET
09:45:05:  20200618
09:45:10:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
09:45:15:  Box_1__0000_20200618094313.log - DRB.tat* - TextAnalysisTool.NET
09:45:45:  D:\00-KE64\press2\Project\k64_rtt.uvprojx - μVision
09:45:50:  TCR调测工具 V3.36
09:45:55:  D:\00-KE64\press2\Project\k64_rtt.uvprojx - μVision
09:46:05:  读写ERROM
09:46:10:  Box_1__0000_20200618094313.log - DRB.tat* - TextAnalysisTool.NET
09:46:20:  D:\00-KE64\press2\Project\k64_rtt.uvprojx - μVision
09:46:30:  TCR调测工具 V3.36
09:46:35:  D:\00-KE64\press2\Project\k64_rtt.uvprojx - μVision
09:47:10:  
09:47:15:  位置不可用
09:47:20:  TCRControlCmdDLL
09:47:25:  本地磁盘 (D:)
09:47:30:  press2
09:47:35:  Box_1__0000_20200618094313.log - DRB.tat* - TextAnalysisTool.NET
09:47:45:  TCR调测工具 V3.36
09:47:50:  打开
09:48:05:  BTCRTestTool
09:48:10:  打开
09:48:15:  TCR调测工具 V3.36
09:49:55:  取款
09:50:00:  TCR调测工具 V3.36
09:50:05:  取款
09:50:10:  TCR调测工具 V3.36
09:50:30:  Box_1__0000_20200618094313.log - DRB.tat* - TextAnalysisTool.NET
09:50:40:  
09:50:45:  D:\00-KE64\press2\Applications\FlowControl\TrackModule\CashGateModuleApp.c (press2) - Sublime Text (UNREGISTERED)
09:50:55:  
09:51:00:  20200618
09:51:15:  Decode
09:51:20:  Box_1__0000_20200618095007.log - DRB.tat* - TextAnalysisTool.NET
09:52:25:  
09:52:30:  D:\00-KE64\press2\Applications\FlowControl\TrackModule\CashGateModuleApp.c (press2) - Sublime Text (UNREGISTERED)
