08:09:49:  各位看看各自的考核比是否需要调整，如有问题请今天上午反馈
09:05:54:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:10:54:  于斌1
09:11:19:  V1.009
09:11:24:  TCR调测工具（研发版）V1.0.0.4
09:11:34:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:12:34:  TCR调测工具（研发版）V1.0.0.4
09:12:39:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:12:44:  TCR调测工具（研发版）V1.0.0.4
09:12:49:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:12:59:  Decode
09:13:09:  K18_0000_20200915091240.log - [No filter file] - TextAnalysisTool.NET
09:13:29:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExe.c (KE18-ESS) - Sublime Text (UNREGISTERED)
09:13:59:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:14:24:  跳转列表
09:14:29:  TCR调测工具（研发版）V1.0.0.4
09:14:34:  打开
09:14:39:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:14:49:  TCR调测工具（研发版）V1.0.0.4
09:14:59:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:15:04:  TCR调测工具（研发版）V1.0.0.4
09:14:24:  跳转列表
09:14:29:  TCR调测工具（研发版）V1.0.0.4
09:14:34:  打开
09:14:39:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:14:49:  TCR调测工具（研发版）V1.0.0.4
09:14:59:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:15:04:  TCR调测工具（研发版）V1.0.0.4
09:15:14:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:17:54:  BTCRTestTool
09:17:59:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:18:14:  TCR调测工具（研发版）V1.0.0.4
09:18:49:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:19:24:  「开始」菜单
09:19:29:  计算器
09:19:44:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:20:04:  回复: CRS样机踢钞轮相位不一致
09:20:09:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:24:59:  TCR调测工具（研发版）V1.0.0.4
09:25:09:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:25:44:  TCR调测工具（研发版）V1.0.0.4
09:25:59:  跳转列表
09:26:04:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:26:29:  TCR调测工具（研发版）V1.0.0.4
