10:33:08:  ID-18-2 5元C面向居右盘点T20-T40第454张报 通道传输过程中卡钞超过最大长度持续遮挡SENSOR_UCS12 返回码0X8046020F
10:33:13:  Decode
10:33:28:  正在复制 3 个项目(23.8 MB)
10:33:33:  fenxi
10:33:38:  新建文件夹 (3)
10:33:43:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
10:34:48:  于斌1
10:35:33:  eSpace
10:35:38:  K64_BTCR-1100190803000001_20200717095610
10:35:43:  Box_2__BTCR-1100190803000001_20200717095610.log - DRB.tat* - TextAnalysisTool.NET
10:37:18:  主页 - Internet Explorer
10:37:23:  系统登录 - Internet Explorer
10:37:28:  新北洋OA信息化平台 - Internet Explorer
10:37:33:  新北洋2020年节假日列表.xlsx  [受保护的视图] - Excel
10:37:58:  新北洋OA信息化平台 - Internet Explorer
10:38:08:  2020年新北洋张村食堂7.20-7.26菜谱.xlsx  [受保护的视图] - Excel
10:38:13:  新北洋OA信息化平台 - Internet Explorer
10:38:18:  2020年新北洋张村食堂7.20-7.26菜谱.xlsx  [受保护的视图] - Excel
10:38:48:  于斌1
10:38:58:  eSpace
10:39:03:  Box_2__BTCR-1100190803000001_20200717095610.log - DRB.tat* - TextAnalysisTool.NET
10:39:48:  Starting Fiddler...
10:39:53:  Progress Telerik Fiddler Web Debugger
10:39:58:  锁屏状态
10:40:03:  主页 - Internet Explorer
10:40:08:  Progress Telerik Fiddler Web Debugger
10:40:13:  新北洋OA信息化平台 - Internet Explorer
10:40:23:  Progress Telerik Fiddler Web Debugger
10:42:33:  Fiddler_10-42-23.htm - 记事本
10:42:38:  Progress Telerik Fiddler Web Debugger
10:43:18:  新北洋OA信息化平台 - Internet Explorer
10:43:23:  系统登录 - Internet Explorer
10:43:38:  新北洋OA信息化平台 - Internet Explorer
10:43:43:  Progress Telerik Fiddler Web Debugger
10:44:18:  本地磁盘 (F:)
10:44:23:  小程序
10:44:33:  GetTheideal.py - F:\小程序\GetTheideal.py (3.7.3)
10:44:38:  *Python 3.7.3 Shell*
10:44:48:  GetTheideal.py - F:\小程序\GetTheideal.py (3.7.3)
10:44:18:  本地磁盘 (F:)
10:44:23:  小程序
10:44:33:  GetTheideal.py - F:\小程序\GetTheideal.py (3.7.3)
10:44:38:  *Python 3.7.3 Shell*
10:44:48:  GetTheideal.py - F:\小程序\GetTheideal.py (3.7.3)
10:45:33:  *Python 3.7.3 Shell*
10:45:58:  GetTheideal.py - F:\小程序\GetTheideal.py (3.7.3)
10:46:08:  新北洋OA信息化平台 - Internet Explorer
10:46:13:  Progress Telerik Fiddler Web Debugger
10:46:28:  GetTheideal.py - F:\小程序\GetTheideal.py (3.7.3)
10:46:48:  *Python 3.7.3 Shell*
10:46:53:  GetTheideal.py - F:\小程序\GetTheideal.py (3.7.3)
10:46:58:  Progress Telerik Fiddler Web Debugger
10:47:23:  GetTheideal.py - F:\小程序\GetTheideal.py (3.7.3)
10:47:28:  Progress Telerik Fiddler Web Debugger
10:47:38:  *GetTheideal.py - F:\小程序\GetTheideal.py (3.7.3)*
10:47:43:  Python 3.7.3 Shell
10:47:48:  GetTheideal.py - F:\小程序\GetTheideal.py (3.7.3)
10:47:53:  *Python 3.7.3 Shell*
10:47:58:  Python 3.7.3 Shell
10:48:03:  GetTheideal.py - F:\小程序\GetTheideal.py (3.7.3)
10:48:18:  *Python 3.7.3 Shell*
10:48:23:  *GetTheideal.py - F:\小程序\GetTheideal.py (3.7.3)*
10:48:53:  新北洋OA信息化平台 - Internet Explorer
10:48:58:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
10:49:38:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
10:49:48:  Progress Telerik Fiddler Web Debugger
10:49:58:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
10:50:03:  Progress Telerik Fiddler Web Debugger
10:50:18:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
10:51:48:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
10:51:53:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
10:51:58:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
10:52:23:  Progress Telerik Fiddler Web Debugger
10:52:38:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
10:52:43:  Progress Telerik Fiddler Web Debugger
10:53:08:  新北洋OA信息化平台 - Internet Explorer
10:53:13:  Progress Telerik Fiddler Web Debugger
10:53:23:  DRB钞箱工程样机系统测试问题列表.xlsx - Excel
10:57:58:  Progress Telerik Fiddler Web Debugger
10:58:03:  系统登录 - Internet Explorer
10:58:13:  Progress Telerik Fiddler Web Debugger
11:00:03:  PressurePlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
10:58:13:  Progress Telerik Fiddler Web Debugger
11:00:03:  PressurePlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
11:00:08:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:00:33:  小程序
11:00:38:  GetTheideal.py - F:\小程序\GetTheideal.py (3.7.3)
11:00:43:  *Python 3.7.3 Shell*
11:00:53:  Progress Telerik Fiddler Web Debugger
11:01:18:  新北洋OA信息化平台 - Internet Explorer
11:01:23:  Progress Telerik Fiddler Web Debugger
11:01:28:  新北洋OA信息化平台 - Internet Explorer
11:01:33:  Progress Telerik Fiddler Web Debugger
11:02:03:  新北洋OA信息化平台 - Internet Explorer
11:02:08:  Progress Telerik Fiddler Web Debugger
11:02:53:  新北洋OA信息化平台 - Internet Explorer
11:03:03:  荆文波
11:04:18:  新北洋OA信息化平台 - Internet Explorer
11:04:23:  Progress Telerik Fiddler Web Debugger
11:05:38:  新北洋OA信息化平台 - Internet Explorer
11:05:43:  404 - 找不到文件或目录。 - Internet Explorer
11:05:48:  Progress Telerik Fiddler Web Debugger
11:06:08:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:06:18:  Progress Telerik Fiddler Web Debugger
11:07:08:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:07:23:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:07:33:  Progress Telerik Fiddler Web Debugger
11:07:43:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:07:53:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:08:13:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:09:13:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:09:18:  Progress Telerik Fiddler Web Debugger
11:10:08:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:10:18:  Progress Telerik Fiddler Web Debugger
11:10:28:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:10:33:  Progress Telerik Fiddler Web Debugger
11:10:38:  新北洋OA信息化平台 - Internet Explorer
11:10:48:  Progress Telerik Fiddler Web Debugger
11:11:08:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:11:13:  Progress Telerik Fiddler Web Debugger
11:11:28:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:11:43:  GetTheideal.py - F:\小程序\GetTheideal.py (3.7.3)
11:11:48:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:12:08:  锁屏状态
11:12:13:  Progress Telerik Fiddler Web Debugger
11:12:33:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:12:38:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:12:48:  Progress Telerik Fiddler Web Debugger
11:12:53:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:12:58:  Progress Telerik Fiddler Web Debugger
11:13:03:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:15:23:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:15:28:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:15:33:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:15:43:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:15:53:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:16:03:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:16:13:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:16:18:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:16:33:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:16:43:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:16:48:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:17:08:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:17:13:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:17:23:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:17:28:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:17:53:  Progress Telerik Fiddler Web Debugger
11:19:18:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:19:33:  Progress Telerik Fiddler Web Debugger
11:21:03:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:21:08:  Progress Telerik Fiddler Web Debugger
11:21:53:  锁屏状态
11:21:58:  Progress Telerik Fiddler Web Debugger
11:22:03:  新北洋OA信息化平台 - Internet Explorer
11:22:08:  Progress Telerik Fiddler Web Debugger
11:22:23:  新北洋OA信息化平台 - Internet Explorer
11:22:28:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:22:38:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:22:43:  Progress Telerik Fiddler Web Debugger
11:23:03:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:23:08:  Progress Telerik Fiddler Web Debugger
11:23:13:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:23:23:  Progress Telerik Fiddler Web Debugger
11:23:53:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:23:58:  Progress Telerik Fiddler Web Debugger
11:24:03:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:24:08:  Progress Telerik Fiddler Web Debugger
11:24:38:  http://oa.byintra.com/iPortal/publish/Default.aspx - Internet Explorer
11:24:43:  Progress Telerik Fiddler Web Debugger
11:26:33:  「开始」菜单
11:26:38:  收取邮件 - 张开发
11:27:28:  新北洋OA信息化平台 - Internet Explorer
11:27:33:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:27:43:  Progress Telerik Fiddler Web Debugger
11:27:53:  新北洋OA信息化平台 - Internet Explorer
11:27:58:  Progress Telerik Fiddler Web Debugger
11:28:03:  新北洋OA信息化平台 - Internet Explorer
11:28:08:  Progress Telerik Fiddler Web Debugger
11:28:08:  Progress Telerik Fiddler Web Debugger
11:30:13:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:30:23:  Progress Telerik Fiddler Web Debugger
11:30:28:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:30:33:  Progress Telerik Fiddler Web Debugger
11:30:38:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:30:43:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:30:48:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:30:53:  Progress Telerik Fiddler Web Debugger
11:32:08:  新北洋OA信息化平台 - Internet Explorer
11:32:13:  Progress Telerik Fiddler Web Debugger
11:32:28:  主页 - Internet Explorer
11:32:33:  系统登录 - Internet Explorer
11:32:38:  Progress Telerik Fiddler Web Debugger
11:33:03:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:33:08:  Progress Telerik Fiddler Web Debugger
11:35:08:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:35:23:  Progress Telerik Fiddler Web Debugger
11:35:33:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:35:38:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:35:48:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:35:53:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:35:58:  Progress Telerik Fiddler Web Debugger
11:36:18:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:36:23:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:36:33:  Progress Telerik Fiddler Web Debugger
11:36:38:  GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
11:36:43:  ● GetTheideal.py - DRB-PRESS - Visual Studio Code [管理员]
