10:50:49:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (CRS-64) - Sublime Text (UNREGISTERED)
10:50:54:  选择文件夹
10:50:59:  untitled (2) - Sublime Text (UNREGISTERED)
10:51:04:  Add Filter
10:51:09:  D:\00-06\2\Applications\PaperManage\PaperManage.c (2) - Sublime Text (UNREGISTERED)
10:52:09:  「开始」菜单
10:52:24:  EXTFEDU6V11.PDF - Adobe Reader
10:52:29:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
10:52:49:  D:\00-06\2\Applications\PaperManage\PaperManage.c (2) - Sublime Text (UNREGISTERED)
10:52:54:  荆文波
10:53:04:  D:\00-06\2\Applications\PaperManage\PaperManage.c (2) - Sublime Text (UNREGISTERED)
10:53:14:  选择文件夹
10:53:19:  荆文波
10:53:59:  untitled (2) - Sublime Text (UNREGISTERED)
10:54:04:  D:\00-06\2\Applications\MotorCtrl\MotorCtrl.c (2) - Sublime Text (UNREGISTERED)
10:54:19:  D:\00-06\2\Applications\Separate\Separate.c (2) - Sublime Text (UNREGISTERED)
10:54:29:  D:\00-06\2\Applications\MotorCtrl\MotorCtrl.c (2) - Sublime Text (UNREGISTERED)
10:54:34:  D:\00-06\2\Applications\PaperManage\PaperManage.c (2) - Sublime Text (UNREGISTERED)
10:55:09:  D:\00-06\2\Drivers\BldcDriver\BldcDriver.h (2) - Sublime Text (UNREGISTERED)
10:55:14:  D:\00-06\2\Applications\Track\Track.h (2) - Sublime Text (UNREGISTERED)
10:55:19:  计算器
10:56:09:  Box_3__BTCR-1100200400210044_20200818095145.log - DRB.tat* - TextAnalysisTool.NET
10:56:19:  计算器
10:56:39:  Box_3__BTCR-1100200400210044_20200818095145.log - DRB.tat* - TextAnalysisTool.NET
10:57:19:  D:\00-06\2\Applications\Track\Track.h (2) - Sublime Text (UNREGISTERED)
10:57:24:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
10:59:44:  方俊杰
10:59:44:  方俊杰
11:01:29:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (CRS-64) - Sublime Text (UNREGISTERED)
11:02:29:  设置 - CRS-MiddleContral - Visual Studio Code [管理员]
11:02:34:  Subversion
11:02:44:  20170415074136494
11:02:54:  设置 - CRS-MiddleContral - Visual Studio Code [管理员]
11:03:04:  20170415074136494
11:03:09:  设置 - CRS-MiddleContral - Visual Studio Code [管理员]
11:03:19:  SeparatorCtrl.c - CRS-MiddleContral - Visual Studio Code [管理员]
11:05:59:  设置 - CRS-MiddleContral - Visual Studio Code [管理员]
11:06:04:  SeparatorCtrl.c - CRS-MiddleContral - Visual Studio Code [管理员]
11:09:39:  设置 - CRS-MiddleContral - Visual Studio Code [管理员]
11:09:44:  SeparatorCtrl.c - CRS-MiddleContral - Visual Studio Code [管理员]
11:12:04:  ● SeparatorCtrl.c - CRS-MiddleContral - Visual Studio Code [管理员]
11:13:29:  SeparatorCtrl.c - CRS-MiddleContral - Visual Studio Code [管理员]
11:13:39:  锁屏状态
11:13:44:  荆文波
11:13:59:  Box_3__BTCR-1100200400210044_20200818095145.log - DRB.tat* - TextAnalysisTool.NET
11:14:04:  计算器
11:14:59:  Box_3__BTCR-1100200400210044_20200818095145.log - DRB.tat* - TextAnalysisTool.NET
11:15:04:  SeparatorCtrl.c - CRS-MiddleContral - Visual Studio Code [管理员]
11:14:59:  Box_3__BTCR-1100200400210044_20200818095145.log - DRB.tat* - TextAnalysisTool.NET
11:15:04:  SeparatorCtrl.c - CRS-MiddleContral - Visual Studio Code [管理员]
11:20:09:  ● SeparatorCtrl.c - CRS-MiddleContral - Visual Studio Code [管理员]
11:20:19:  SeparatorCtrl.c - CRS-MiddleContral - Visual Studio Code [管理员]
11:28:19:  2020年国家职称申报预备通知
11:29:19:  SeparatorCtrl.c - CRS-MiddleContral - Visual Studio Code [管理员]
11:28:19:  2020年国家职称申报预备通知
11:29:19:  SeparatorCtrl.c - CRS-MiddleContral - Visual Studio Code [管理员]
11:33:24:  设置 - CRS-MiddleContral - Visual Studio Code [管理员]
11:33:29:  SeparatorCtrl.c - CRS-MiddleContral - Visual Studio Code [管理员]
11:45:24:  锁屏状态
13:11:55:  SeparatorCtrl.c - CRS-MiddleContral - Visual Studio Code [管理员]
13:15:10:  荆文波
13:15:15:  SeparatorCtrl.c - CRS-MiddleContral - Visual Studio Code [管理员]
13:16:45:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
13:16:50:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (CRS-64) - Sublime Text (UNREGISTERED)
13:17:25:  D:\00-06\2\Applications\Track\Track.h (CRS-64) - Sublime Text (UNREGISTERED)
13:17:30:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (CRS-64) - Sublime Text (UNREGISTERED)
13:17:40:  untitled (CRS-64) - Sublime Text (UNREGISTERED)
13:17:45:  D:\00-KE64\CRS-64\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (CRS-64) - Sublime Text (UNREGISTERED)
13:18:55:  SeparatorCtrl.c - CRS-MiddleContral - Visual Studio Code [管理员]
13:20:45:  设置 - CRS-MiddleContral - Visual Studio Code [管理员]
13:20:55:  SeparatorCtrl.c - CRS-MiddleContral - Visual Studio Code [管理员]
13:21:15:  CheckTheBookTital.py - CRS-MiddleContral - Visual Studio Code [管理员]
13:21:20:  SeparatorCtrl.c - CRS-MiddleContral - Visual Studio Code [管理员]
13:22:40:  ● SeparatorCtrl.c - CRS-MiddleContral - Visual Studio Code [管理员]
13:22:45:  SeparatorCtrl.c - CRS-MiddleContral - Visual Studio Code [管理员]
13:23:30:  ● SeparatorCtrl.c - CRS-MiddleContral - Visual Studio Code [管理员]
13:25:00:  CheckTheBookTital.py - CRS-MiddleContral - Visual Studio Code [管理员]
13:25:05:  设置 - CRS-MiddleContral - Visual Studio Code [管理员]
13:25:15:  SeparatorCtrl.c - CRS-MiddleContral - Visual Studio Code [管理员]
13:28:40:  锁屏状态
13:28:45:  D:\00-KE64\CRS-64\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (CRS-64) - Sublime Text (UNREGISTERED)
13:28:50:  eSpace
13:28:40:  锁屏状态
13:28:45:  D:\00-KE64\CRS-64\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (CRS-64) - Sublime Text (UNREGISTERED)
13:28:50:  eSpace
13:31:20:  TCR常见故障说明.xlsx  [只读] - Excel
13:31:25:  网易有道词典
13:31:30:  D:\00-KE64\CRS-64\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (CRS-64) - Sublime Text (UNREGISTERED)
13:32:10:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
13:32:20:  D:\00-KE64\CRS-64\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (CRS-64) - Sublime Text (UNREGISTERED)
13:33:20:  空调开放至晚八点
13:33:25:  TCR常见故障说明.xlsx  [只读] - Excel
13:34:05:  D:\00-KE64\CRS-64\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
13:34:10:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (CRS-64) - Sublime Text (UNREGISTERED)
13:34:15:  D:\00-KE64\CRS-64\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
13:34:25:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (CRS-64) - Sublime Text (UNREGISTERED)
13:34:45:  D:\00-KE64\CRS-64\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (CRS-64) - Sublime Text (UNREGISTERED)
13:34:50:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (CRS-64) - Sublime Text (UNREGISTERED)
13:35:05:  D:\00-KE64\CRS-64\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
13:35:15:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (CRS-64) - Sublime Text (UNREGISTERED)
13:35:20:  D:\00-KE64\CRS-64\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (CRS-64) - Sublime Text (UNREGISTERED)
13:35:30:  D:\00-KE64\CRS-64\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
13:35:35:  D:\00-KE64\CRS-64\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (CRS-64) - Sublime Text (UNREGISTERED)
13:35:50:  D:\00-KE64\CRS-64\Applications\FlowControl\TrackModule\GateModuleApp.c (CRS-64) - Sublime Text (UNREGISTERED)
13:37:50:  D:\00-KE64\CRS-64\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (CRS-64) - Sublime Text (UNREGISTERED)
13:37:55:  D:\00-KE64\CRS-64\Applications\FlowControl\TrackModule\GateModule.c (CRS-64) - Sublime Text (UNREGISTERED)
13:38:30:  D:\00-KE64\CRS-64\Applications\FlowControl\TrackModule\GateModuleApp.c (CRS-64) - Sublime Text (UNREGISTERED)
13:38:45:  D:\00-KE64\CRS-64\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (CRS-64) - Sublime Text (UNREGISTERED)
13:39:35:  D:\00-KE64\CRS-64\Applications\MemoryConfig.h (CRS-64) - Sublime Text (UNREGISTERED)
13:39:40:  D:\00-KE64\CRS-64\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (CRS-64) - Sublime Text (UNREGISTERED)
13:40:00:  丁文科
13:40:55:  20170415074136494
13:41:15:  01-软件
13:41:30:  本地磁盘 (D:)
13:41:40:  冯宁
13:41:45:  钞箱资料 - Everything
13:41:50:  ARM.CMSIS - Everything
13:41:55:  ARM.CMSIS.5.1 - Everything
13:42:00:  本地磁盘 (F:)
13:42:05:  192.168.28.2
13:42:10:  丁文科
13:42:40:  资料共享
13:42:45:  丁文科
13:43:10:  回复: DRB金标速度卡钞
13:43:35:  本地磁盘 (D:)
13:43:40:  fenxi
13:43:45:  DRB钞箱上腔取款第134张报通道传输过程中卡钞 超过最大长度持续有钞  返回码0X874602B9
13:43:50:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
13:43:55:  LOG
13:44:00:  Box_2__BTCR-1100190802300006_20200818132826.log - DRB.tat* - TextAnalysisTool.NET
13:44:15:  回复: DRB金标速度卡钞
13:44:45:  Box_2__BTCR-1100190802300006_20200818132826.log - DRB.tat* - TextAnalysisTool.NET
13:44:15:  回复: DRB金标速度卡钞
13:44:45:  Box_2__BTCR-1100190802300006_20200818132826.log - DRB.tat* - TextAnalysisTool.NET
13:45:15:  回复: DRB金标速度卡钞
13:45:30:  荆文波
13:45:55:  D:\00-KE64\CRS-64\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
13:46:00:  选择文件夹
