13:43:17:  扩展: Settings Sync - trunk - Visual Studio Code [管理员]
13:43:22:  Welcome to Settings Sync - trunk - Visual Studio Code [管理员]
13:43:27:  Sync Settings - trunk - Visual Studio Code [管理员]
13:44:12:  Welcome to Settings Sync - trunk - Visual Studio Code [管理员]
13:44:17:  https://github.com/login/oauth/authorize?scope=gist%20read:user&client_id=cfd96460d8b110e2351b& - Internet Explorer
13:44:22:  http://localhost:54321/callback?code=50e528ed1c25c8bc8511 - Internet Explorer
13:44:27:  Welcome to Settings Sync - trunk - Visual Studio Code [管理员]
13:44:37:  settings sync如何使用_百度搜索 - Google Chrome
13:44:42:  github协作提示sync fail的解决方法_alane1986的专栏-CSDN博客_sync: invalid github enterprise url. - Google Chrome
13:44:52:  vscode跨设备同步配置失败问题。_dokill的博客-CSDN博客_sync: github 令牌无效或已过期。请重新生成。错误信息已打印到控制台 - Google Chrome
13:44:12:  Welcome to Settings Sync - trunk - Visual Studio Code [管理员]
13:44:17:  https://github.com/login/oauth/authorize?scope=gist%20read:user&client_id=cfd96460d8b110e2351b& - Internet Explorer
13:44:22:  http://localhost:54321/callback?code=50e528ed1c25c8bc8511 - Internet Explorer
13:44:27:  Welcome to Settings Sync - trunk - Visual Studio Code [管理员]
13:44:37:  settings sync如何使用_百度搜索 - Google Chrome
13:44:42:  github协作提示sync fail的解决方法_alane1986的专栏-CSDN博客_sync: invalid github enterprise url. - Google Chrome
13:44:52:  vscode跨设备同步配置失败问题。_dokill的博客-CSDN博客_sync: github 令牌无效或已过期。请重新生成。错误信息已打印到控制台 - Google Chrome
13:45:12:  Welcome to Settings Sync - trunk - Visual Studio Code [管理员]
13:45:17:  http://localhost:54321/callback?code=297026357609a3ee3860 - Internet Explorer
13:45:22:  Sync Settings - trunk - Visual Studio Code [管理员]
13:45:27:  Sync: Invalid GitHub Enterprise URL_百度搜索 - Google Chrome
13:45:32:  https://www.baidu.com/link?url=2W_W_SAvplBMmbH42Lsw-yQT4Xg88K_vlWElmA8QnBO&wd=&eqid=e4e2a8110000f703000000025f06aef8 - Google Chrome
13:45:37:  GitHub - Google Chrome
13:45:57:  zhangdayehaha - Google Chrome
13:46:07:  vscode跨设备同步配置失败问题。_dokill的博客-CSDN博客_sync: github 令牌无效或已过期。请重新生成。错误信息已打印到控制台 - Google Chrome
13:46:12:  zhangdayehaha - Google Chrome
13:46:22:  Your Profile - Google Chrome
13:47:07:  Visual Studio Code
13:47:12:  http://localhost:54321/callback?code=6727631aa6d5efe76f45 - Internet Explorer
13:47:17:  Select Your Existing Gist - trunk - Visual Studio Code [管理员]
13:47:22:  Welcome to Settings Sync - trunk - Visual Studio Code [管理员]
13:47:32:  https://github.com/login/oauth/authorize?scope=gist%20read:user&client_id=cfd96460d8b110e2351b& - Internet Explorer
13:47:37:  Sync Settings - trunk - Visual Studio Code [管理员]
13:48:02:  gist.github.com - Google Chrome
13:48:07:  Invalid GitHub Enterprise URL._百度搜索 - Google Chrome
13:48:17:  Github API v3 -Overview_CSDN你大爷的的专栏-CSDN博客_github enterprise api url ends with /api/v3 - Google Chrome
13:48:22:  Sync Settings - trunk - Visual Studio Code [管理员]
13:48:27:  Sync: Invalid GitHub Enterprise URL._百度搜索 - Google Chrome
13:48:32:  vscode同步配置时，重新生成 github token 之后，怎样继续下载配置 - 简书 - Google Chrome
13:48:52:  Sync: Invalid GitHub Enterprise URL._百度搜索 - Google Chrome
13:48:57:  github 生成token的方法 - 南菜园 - 博客园 - Google Chrome
13:49:02:  github token_百度搜索 - Google Chrome
