08:04:38:  ClassLog333.py - [C:\Users\zhangkaifa\AppData\Local\Temp\ClassLog333.py] - ClassLog333.py - PyCharm Community Edition 2017.1.5
13:52:51:  *ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)*
13:54:01:  *Python 3.7.3 Shell*
13:54:06:  log2.txt - 记事本
13:54:16:  log0.txt - 记事本
13:54:26:  log1.txt - 记事本
13:54:51:  log2.txt - 记事本
13:55:21:  log1.txt - 记事本
13:55:31:  Decode
13:55:36:  ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)
13:56:31:  *Python 3.7.3 Shell*
13:56:36:  Decode
13:56:46:  ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)
13:56:56:  log0.txt - 记事本
13:57:01:  Decode
13:57:06:  ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)
13:57:31:  log2.txt - 记事本
13:57:36:  ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)
13:58:06:  *ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)*
13:58:11:  *Python 3.7.3 Shell*
13:58:16:  log2.txt - 记事本
13:59:21:  Decode
13:59:31:  ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)
13:59:36:  *ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)*
13:59:46:  ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)
13:59:51:  Save Before Run or Check
13:59:56:  *Python 3.7.3 Shell*
14:00:01:  *ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)*
13:58:06:  *ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)*
13:58:11:  *Python 3.7.3 Shell*
13:58:16:  log2.txt - 记事本
13:59:21:  Decode
13:59:31:  ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)
13:59:36:  *ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)*
13:59:46:  ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)
13:59:51:  Save Before Run or Check
13:59:56:  *Python 3.7.3 Shell*
14:00:01:  *ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)*
14:00:06:  *Python 3.7.3 Shell*
14:00:16:  Kill?
14:00:21:  ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)
14:00:26:  *ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)*
14:00:31:  *Python 3.7.3 Shell*
14:00:36:  Expand huge output?
14:00:41:  Kill?
14:00:46:  *ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)*
14:00:56:  *Python 3.7.3 Shell*
14:01:11:  Expand huge output?
14:01:16:  *Python 3.7.3 Shell*
14:03:11:  ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)
14:03:16:  *ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)*
14:03:41:  *Python 3.7.3 Shell*
14:03:56:  C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\log2.txt (DRB--) - Sublime Text (UNREGISTERED)
14:04:06:  D:\00-06\DRB--\Applications\PaperManage\PaperManage.c (DRB--) - Sublime Text (UNREGISTERED)
14:04:11:  *Python 3.7.3 Shell*
14:04:36:  Python 3.7.3 Shell
14:05:11:  *ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)*
14:05:21:  log0.txt - 记事本
14:05:26:  Python 3.7.3 Shell
14:06:12:  *ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)*
14:06:47:  *Python 3.7.3 Shell*
14:07:47:  Python 3.7.3 Shell
14:10:02:  Decode
14:10:07:  K18_0000_20201022134558.log - [No filter file] - TextAnalysisTool.NET
14:10:57:  Decode
14:11:02:  Python 3.7.3 Shell
14:11:42:  LOG
14:11:57:  *新建文本文档.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\LOG\新建文本文档.py (3.7.3)*
14:12:52:  Python 3.7.3 Shell
14:12:57:  新建文本文档.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\LOG\新建文本文档.py (3.7.3)
14:13:12:  Python 3.7.3 Shell
14:13:22:  *新建文本文档.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\LOG\新建文本文档.py (3.7.3)*
14:13:27:  Save Before Run or Check
14:13:32:  新建文本文档.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\LOG\新建文本文档.py (3.7.3)
14:13:37:  *新建文本文档.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\LOG\新建文本文档.py (3.7.3)*
14:13:42:  新建文本文档.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\LOG\新建文本文档.py (3.7.3)
14:13:47:  Python 3.7.3 Shell
14:13:52:  新建文本文档.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\LOG\新建文本文档.py (3.7.3)
14:13:57:  *新建文本文档.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\LOG\新建文本文档.py (3.7.3)*
14:14:02:  Python 3.7.3 Shell
14:14:12:  新建文本文档.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\LOG\新建文本文档.py (3.7.3)
14:14:32:  *新建文本文档.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\LOG\新建文本文档.py (3.7.3)*
14:14:47:  新建文本文档.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\LOG\新建文本文档.py (3.7.3)
