09:44:18:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
09:44:38:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c • (trunk) - Sublime Text (UNREGISTERED)
09:44:43:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
09:44:53:  RTT_SeggerLog_202101150942.log - DRB.tat* - TextAnalysisTool.NET
09:51:58:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
09:52:13:  eSpace
09:52:28:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
09:52:43:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
09:52:48:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
09:53:13:  CashBoxInfo.h - DRB-NearFull - Visual Studio Code [管理员]
09:53:28:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
09:53:33:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
09:53:38:  State.c - DRB-NearFull - Visual Studio Code [管理员]
09:54:59:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
09:55:24:  KE06LOG.bat - 快捷方式 (2)
09:55:29:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
09:56:04:  RTT_SeggerLog_202101150942.log - DRB.tat* - TextAnalysisTool.NET
09:56:09:  RTT_SeggerLog_202101150955.log - DRB.tat* - TextAnalysisTool.NET
09:56:34:  State.c - DRB-NearFull - Visual Studio Code [管理员]
09:56:39:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
09:56:54:  自动播放
09:56:59:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:04:19:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
10:04:24:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
10:05:59:  RTT_SeggerLog_202101150955.log - DRB.tat* - TextAnalysisTool.NET
10:06:44:  跳转列表
10:06:49:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:07:24:  锁屏状态
10:07:29:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
10:08:34:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c • (trunk) - Sublime Text (UNREGISTERED)
10:10:54:  eSpace
10:11:04:  LogExpert #3 - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202101141556.log
10:11:09:  RTT_SeggerLog_202101150955.log - DRB.tat* - TextAnalysisTool.NET
