10:13:06:  K64_BTCR-1100200400210043_20210318101203.log - DRB2.tat* - TextAnalysisTool.NET
10:13:26:  Decode
10:14:26:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:14:26:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:15:36:  TCR调测工具 V3.36
10:15:46:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:16:36:  20210318
10:16:41:  Decode
10:16:46:  Box_4__BTCR-1100200400210043_20210318101541.log - DRB2.tat* - TextAnalysisTool.NET
10:16:56:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:17:16:  D:\00-06\DRB\Tools\CreateJK.exe
10:17:21:  TCR调测工具 V3.36
10:17:26:  Tools
10:17:36:  TCR调测工具 V3.36
10:17:41:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:18:01:  发送指令到K06
10:18:06:  TCR调测工具 V3.36
10:18:21:  发送指令到K06
10:18:26:  TCR调测工具 V3.36
10:18:31:  Tools
10:18:36:  20210318
10:19:06:  LOG
10:19:11:  K64_BTCR-1100200400210043_20210318101826
10:19:16:  K64-_BTCR-1100200400210043_20210318101826
10:19:21:  K64--_BTCR-1100200400210043_20210318101826.log - DRB2.tat* - TextAnalysisTool.NET
10:19:31:  删除文件夹
10:19:41:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:20:06:  Decode
10:20:11:  K64_BTCR-1100200400210043_20210318101933
10:20:16:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:21:46:  D:\00-06\DRB\Tools\CreateJK.exe
10:21:51:  打开
10:21:56:  Tools
10:22:06:  TCR调测工具 V3.36
10:22:16:  Tools
10:22:21:  20210318
10:22:26:  TCR调测工具 V3.36
10:22:36:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:22:56:  TCR调测工具 V3.36
10:23:16:  BTCRTestTool
10:25:11:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:28:31:  TCR调测工具 V3.36
10:28:36:  20210318
10:29:56:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
10:30:01:  K64--_BTCR-1100200400210043_20210318101826.log - DRB2.tat* - TextAnalysisTool.NET
10:28:31:  TCR调测工具 V3.36
10:28:36:  20210318
10:29:56:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
10:30:01:  K64--_BTCR-1100200400210043_20210318101826.log - DRB2.tat* - TextAnalysisTool.NET
10:30:06:  Box_4__BTCR-1100200400210043_20210318102831.log - DRB2.tat* - TextAnalysisTool.NET
10:31:11:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
10:31:16:  D:\00-06\DRB\Applications\LogHandle\LogHandle.c (DRB) - Sublime Text (UNREGISTERED)
10:31:26:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
10:31:36:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecord_Examples.c (DRB) - Sublime Text (UNREGISTERED)
10:31:41:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
10:31:46:  D:\00-06\DRB\Applications\LogHandle\LogHandle.c (DRB) - Sublime Text (UNREGISTERED)
10:31:56:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
10:32:01:  D:\00-06\DRB\Applications\Initial\Initial.c (DRB) - Sublime Text (UNREGISTERED)
10:32:06:  D:\00-06\DRB\Applications\LogHandle\LogHandle.c (DRB) - Sublime Text (UNREGISTERED)
10:32:11:  D:\00-06\DRB\Applications\Track\Track.c (DRB) - Sublime Text (UNREGISTERED)
10:32:16:  D:\00-06\DRB\Applications\Initial\Initial.c (DRB) - Sublime Text (UNREGISTERED)
10:32:21:  D:\00-06\DRB\Applications\LogHandle\LogHandle.c (DRB) - Sublime Text (UNREGISTERED)
10:32:26:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
10:33:31:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecordMoudle.c (DRB) - Sublime Text (UNREGISTERED)
10:33:36:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\easyflash\src\ef_log.c (DRB) - Sublime Text (UNREGISTERED)
10:35:56:  Box_4__BTCR-1100200400210043_20210318102831.log - DRB2.tat* - TextAnalysisTool.NET
10:36:11:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
10:37:01:  D:\00-06\DRB\Middlewares\Log\Log.c • (DRB) - Sublime Text (UNREGISTERED)
10:37:36:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
10:37:56:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:38:26:  C:\Keil_v5\ARM\ARMCC\Bin\fromelf.exe
10:38:31:  D:\00-06\DRB\Tools\CreateJK.exe
10:38:36:  打开
10:38:41:  TCR调测工具 V3.36
10:39:11:  Decode
10:39:16:  20210318
10:39:31:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
10:39:36:  Box_4__BTCR-1100200400210043_20210318103857.log - DRB2.tat* - TextAnalysisTool.NET
10:39:56:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
10:40:31:  D:\00-06\DRB\Middlewares\Log\Log.c • (DRB) - Sublime Text (UNREGISTERED)
10:40:36:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
10:40:46:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:41:06:  D:\00-06\DRB\Tools\CreateJK.exe
10:41:11:  TCR调测工具 V3.36
10:41:36:  20210318
10:42:01:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
10:42:06:  Box_4__BTCR-1100200400210043_20210318104126.log - DRB2.tat* - TextAnalysisTool.NET
10:42:11:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:42:26:  D:\00-06\DRB\Tools\CreateJK.exe
10:42:31:  TCR调测工具 V3.36
10:42:36:  删除多个项目
10:42:41:  TCR调测工具 V3.36
10:42:51:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:43:21:  程明昌
10:43:46:  K64_BTCR-1100200400210043_20210318104248
10:43:51:  Box_4__BTCR-1100200400210043_20210318104248.log - DRB2.tat* - TextAnalysisTool.NET
10:44:26:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:44:51:  程明昌
10:44:26:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:44:51:  程明昌
10:45:11:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
10:45:26:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecord_Examples.c (DRB) - Sublime Text (UNREGISTERED)
10:45:36:  锁屏状态
10:45:41:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecord_Examples.c (DRB) - Sublime Text (UNREGISTERED)
10:48:36:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:49:01:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecord_Examples.c (DRB) - Sublime Text (UNREGISTERED)
10:51:36:  DRB
10:51:41:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
10:51:46:  http://192.168.10.9:82/svn/FW_LIB_SHARE - 版本库浏览器 - TortoiseSVN
10:52:11:   - 版本库浏览器 - TortoiseSVN
10:52:16:  http://192.168.10.9:82/svn/FW_LIB_SHARE - 版本库浏览器 - TortoiseSVN
10:52:31:  C:\Users\ZHANGK~1\AppData\Local\Temp\Examples.s...\FlashCircRecord_Examples.c - 更新 - TortoiseSVN
10:52:36:  FlashCircRecord_Examples.c - 记事本
10:53:36:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecord_Examples.c (DRB) - Sublime Text (UNREGISTERED)
10:57:46:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
10:57:51:  D:\00-06\DRB\Middlewares\Log\Log.c • (DRB) - Sublime Text (UNREGISTERED)
10:58:37:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecordMoudle.c (DRB) - Sublime Text (UNREGISTERED)
10:58:42:  D:\00-06\DRB\Middlewares\Log\Log.c • (DRB) - Sublime Text (UNREGISTERED)
10:59:17:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:59:42:  D:\00-06\DRB\Tools\CreateJK.exe
10:59:47:  打开
10:59:52:  TCR调测工具 V3.36
11:00:02:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecord_Examples.c (DRB) - Sublime Text (UNREGISTERED)
10:58:37:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecordMoudle.c (DRB) - Sublime Text (UNREGISTERED)
10:58:42:  D:\00-06\DRB\Middlewares\Log\Log.c • (DRB) - Sublime Text (UNREGISTERED)
10:59:17:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:59:42:  D:\00-06\DRB\Tools\CreateJK.exe
10:59:47:  打开
10:59:52:  TCR调测工具 V3.36
11:00:02:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecord_Examples.c (DRB) - Sublime Text (UNREGISTERED)
11:00:12:  TCR调测工具 V3.36
11:00:17:  20210318
11:00:47:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecord_Examples.c (DRB) - Sublime Text (UNREGISTERED)
11:00:52:  D:\00-06\DRB\Applications\PlateCtrl\UpperPlateCtrl.c (DRB) - Sublime Text (UNREGISTERED)
11:01:02:  D:\00-06\DRB\Middlewares\Plate\UpperPlate.c (DRB) - Sublime Text (UNREGISTERED)
11:01:12:  Decode
11:01:17:  K64_BTCR-1100200400210043_20210318110011
11:01:22:  Box_4__BTCR-1100200400210043_20210318110011.log - DRB2.tat* - TextAnalysisTool.NET
11:02:02:  发送指令到K06
11:02:17:  TCR调测工具 V3.36
11:02:32:  20210318
11:05:17:  LOG
11:05:22:  Box_4__BTCR-1100200400210043_20210318110225.log - DRB2.tat* - TextAnalysisTool.NET
11:05:52:  Add Filter
11:05:57:  Box_4__BTCR-1100200400210043_20210318110225.log - DRB2.tat* - TextAnalysisTool.NET
11:06:02:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
11:09:12:  锁屏状态
11:09:17:  TCR调测工具 V3.36
11:09:22:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
11:09:47:  锁屏状态
11:09:52:  20210318
11:09:57:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
11:10:22:  20210318
11:10:27:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
11:10:32:  Box_4__BTCR-1100200400210043_20210318110948.log - DRB2.tat* - TextAnalysisTool.NET
