07:56:45:  刘茂林
09:40:01:  K64-_0000_20210303093755.log - DRB.tat* - TextAnalysisTool.NET
09:40:06:  K64_0000_20210303093755
09:40:11:  Box_4__0000_20210303093755.log - DRB.tat* - TextAnalysisTool.NET
09:40:21:  TCR调测工具 V3.36
09:40:31:  发送指令到K06
09:40:41:  TCR调测工具 V3.36
09:42:31:  20210303
09:43:11:  Decode
09:43:16:  Box_4__0000_20210303094223.log - DRB.tat* - TextAnalysisTool.NET
09:44:06:  K64_0000_20210303094223
09:44:21:  KE18-VERSION1
09:44:26:  D:\CRS\KE18-VERSION1 - 工作副本 - TortoiseSVN
09:44:31:  Project
09:44:46:  D:\CRS\KE18-VERSION1\Project\ke18_rtt.uvprojx - μVision
09:44:06:  K64_0000_20210303094223
09:44:21:  KE18-VERSION1
09:44:26:  D:\CRS\KE18-VERSION1 - 工作副本 - TortoiseSVN
09:44:31:  Project
09:44:46:  D:\CRS\KE18-VERSION1\Project\ke18_rtt.uvprojx - μVision
09:45:21:  Project
09:46:06:  20180613 TCR内部指令手册_V001.xlsx - Excel
09:46:16:  Project
09:46:36:  20180613 TCR内部指令手册_V001.xlsx - Excel
09:48:26:  D:\CRS\KE18-VERSION1\Project\ke18_rtt.uvprojx - μVision
09:49:06:  TCR调测工具 V3.36
09:50:41:  跳转列表
09:50:46:  20210303
09:51:31:  于斌1
09:51:36:  Decode
09:51:41:  Box_4__0000_20210303094223.log - DRB.tat* - TextAnalysisTool.NET
09:51:46:  Box_4__0000_20210303095037.log - DRB.tat* - TextAnalysisTool.NET
09:51:56:  K64_0000_20210303095037
09:52:01:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:52:56:  00-06
09:53:01:  Tools
09:53:11:  打开
09:53:21:  TCR调测工具 V3.36
09:53:26:  于斌1
09:53:31:  D:\CRS\KE18-VERSION1\Project\ke18_rtt.uvprojx - μVision
09:53:46:  TCR调测工具 V3.36
09:55:51:  fenxi
09:55:56:  1111
09:56:06:  Decode
09:56:11:  K64_0000_20210303095435.log - DRB.tat* - TextAnalysisTool.NET
09:56:21:  Decode
09:56:31:  本地磁盘 (D:)
09:56:36:  K64_0000_20210303095435.log - DRB.tat* - TextAnalysisTool.NET
09:56:41:  TCRControlCmdDLL
09:56:46:  Decode
09:56:56:  Box_4__0000_20210303095548.log - DRB.tat* - TextAnalysisTool.NET
09:58:11:  K64_0000_20210303095548
09:58:16:  K64-_0000_20210303095548.log - DRB.tat* - TextAnalysisTool.NET
09:58:36:  K64_0000_20210303095548
09:58:46:  复制文件
09:58:51:  K64-_0000_20210303095548.log - DRB.tat* - TextAnalysisTool.NET
09:58:56:  K64_0000_20210303095435.log - DRB.tat* - TextAnalysisTool.NET
09:58:11:  K64_0000_20210303095548
09:58:16:  K64-_0000_20210303095548.log - DRB.tat* - TextAnalysisTool.NET
09:58:36:  K64_0000_20210303095548
09:58:46:  复制文件
09:58:51:  K64-_0000_20210303095548.log - DRB.tat* - TextAnalysisTool.NET
09:58:56:  K64_0000_20210303095435.log - DRB.tat* - TextAnalysisTool.NET
10:02:01:  D:\CRS\KE18-VERSION1\Project\ke18_rtt.uvprojx - μVision
